CALC-PI,BRANCH_SPEC_EXEC_IND,BARRIER_SPEC_EXEC_ISB,BARRIER_SPEC_EXEC_DSB,BARRIER_SPEC_EXEC_DMB,EXCEPTION_UNDEF,EXCEPTION_SVC
300000,2400143,0,0,0,0,3
300000,2400080,0,0,0,0,3
300000,2400074,0,0,0,0,3
300000,2400083,0,0,0,0,3
300000,2400072,0,0,0,0,3
300000,2400073,0,0,0,0,3
600000,4800172,0,0,0,0,3
600000,4800106,0,0,0,0,3
600000,4800111,0,0,0,0,3
600000,4800114,0,0,0,0,3
600000,4800106,0,0,0,0,3
600000,4800108,0,0,0,0,3
1200000,9600234,0,0,0,0,3
1200000,9600153,0,0,0,0,3
1200000,9600160,0,0,0,0,3
1200000,9600174,0,0,0,0,3
1200000,9600156,0,0,0,0,3
1200000,9600152,0,0,0,0,3
2400000,19200338,0,0,0,0,3
2400000,19200283,0,0,0,0,3
2400000,19200282,0,0,0,0,3
2400000,19200299,0,0,0,0,3
2400000,19200298,0,0,0,0,3
2400000,19200282,0,0,0,0,3
4800000,38400416,0,0,0,0,3
4800000,38400255,0,0,0,0,3
4800000,38400230,0,0,0,0,3
4800000,38400259,0,0,0,0,3
4800000,38400228,0,0,0,0,3
4800000,38400251,0,0,0,0,3
