CALC-PI,BUS_NORMAL_ACCESS,BUS_NOT_NORMAL_ACCESS,BUS_NORMAL_ACCESS_2,BUS_PERIPH_ACCESS,DATA_MEM_READ_ACCESS,DATA_MEM_WRITE_ACCESS
300000,0,1106,1106,0,11078679,6230925
300000,0,132,132,0,10800535,5400201
300000,0,48,48,0,10800579,5400237
300000,0,28,28,0,10800520,5400216
300000,0,64,64,0,10800619,5400263
300000,0,24,24,0,10800626,5400283
600000,0,1224,1224,0,21884000,11364863
600000,0,112,112,0,21600792,10800354
600000,0,92,92,0,21600781,10800352
600000,0,112,112,0,21600769,10800347
600000,0,12,12,0,21600760,10800332
600000,0,32,32,0,21600726,10800321
1200000,0,1416,1416,0,43697257,22898300
1200000,0,44,44,0,43201101,21600545
1200000,0,32,32,0,43201088,21600491
1200000,0,92,92,0,43201131,21600530
1200000,0,96,96,0,43201144,21600535
1200000,0,48,48,0,43201117,21600519
2400000,0,1200,1200,0,86783466,44121804
2400000,0,180,180,0,86401858,43200959
2400000,0,48,48,0,86401854,43200938
2400000,0,20,20,0,86401800,43200888
2400000,0,32,32,0,86401737,43200898
2400000,0,24,24,0,86401741,43200899
4800000,0,1382,1382,0,173162139,87278272
4800000,0,132,132,0,172801383,86400694
4800000,0,652,652,0,172801677,86400827
4800000,0,80,80,0,172801480,86400734
4800000,0,136,136,0,172801518,86400762
4800000,0,68,68,0,172801633,86400826
