CALC-PI,EXCEPTION_TRAP_PABORT,EXCEPTION_TRAP_DABORT,EXCEPTION_TRAP_OTHER,EXCEPTION_TRAP_IRQ,EXCEPTION_TRAP_FIQ
300000,0,0,0,0,0
300000,0,0,0,0,0
300000,0,0,0,0,0
300000,0,0,0,0,0
300000,0,0,0,0,0
300000,0,0,0,0,0
600000,0,0,0,0,0
600000,0,0,0,0,0
600000,0,0,0,0,0
600000,0,0,0,0,0
600000,0,0,0,0,0
600000,0,0,0,0,0
1200000,0,0,0,0,0
1200000,0,0,0,0,0
1200000,0,0,0,0,0
1200000,0,0,0,0,0
1200000,0,0,0,0,0
1200000,0,0,0,0,0
2400000,0,0,0,0,0
2400000,0,0,0,0,0
2400000,0,0,0,0,0
2400000,0,0,0,0,0
2400000,0,0,0,0,0
2400000,0,0,0,0,0
4800000,0,0,0,0,0
4800000,0,0,0,0,0
4800000,0,0,0,0,0
4800000,0,0,0,0,0
4800000,0,0,0,0,0
4800000,0,0,0,0,0
