CALC-PI,INST_RETIRED,EXCEPTION_TAKEN,EXCEPTION_RETURN,CID_WRITE_RETIRED,TTBR_WRITE_RETIRED
300000,48605478,21,0,0,0
300000,48601478,15,0,0,0
300000,48601478,17,0,0,0
300000,48601478,17,0,0,0
300000,48601478,15,0,0,0
300000,48601478,15,0,0,0
600000,97205478,39,0,0,0
600000,97201478,29,0,0,0
600000,97201478,31,0,0,0
600000,97201478,31,0,0,0
600000,97201478,31,0,0,0
600000,97201478,31,0,0,0
1200000,194405478,59,0,0,0
1200000,194401478,59,0,0,0
1200000,194401478,57,0,0,0
1200000,194401478,57,0,0,0
1200000,194401478,59,0,0,0
1200000,194401478,59,0,0,0
2400000,388805478,127,0,0,0
2400000,388801478,107,0,0,0
2400000,388801478,113,0,0,0
2400000,388801478,111,0,0,0
2400000,388801478,119,0,0,0
2400000,388801478,113,0,0,0
4800000,777605478,175,0,0,0
4800000,777601478,91,0,0,0
4800000,777601478,93,0,0,0
4800000,777601478,91,0,0,0
4800000,777601478,91,0,0,0
4800000,777601478,91,0,0,0
