CALC-PI,INST_RETIRED,INST_SPEC_EXEC,EXCEPTION_TAKEN,EXCEPTION_RETURN,CID_WRITE_RETIRED,TTBR_WRITE_RETIRED
300000,48605506,63009422,13,0,0,0
300000,48601506,61499665,9,0,0,0
300000,48601506,48602759,9,0,0,0
300000,48601506,48602297,7,0,0,0
300000,48601506,48602395,7,0,0,0
300000,48601506,48602755,9,0,0,0
600000,97205506,97209714,19,0,0,0
600000,97201506,97202790,13,0,0,0
600000,97201506,97202735,13,0,0,0
600000,97201506,97202972,15,0,0,0
600000,97201506,97203056,13,0,0,0
600000,97201506,97203043,15,0,0,0
1200000,194405506,212953781,29,0,0,0
1200000,194401506,194404046,25,0,0,0
1200000,194401506,194403751,25,0,0,0
1200000,194401506,194403941,25,0,0,0
1200000,194401506,194403894,25,0,0,0
1200000,194401506,194403642,25,0,0,0
2400000,388805506,406620659,51,0,0,0
2400000,388801506,388805808,47,0,0,0
2400000,388801506,388805624,47,0,0,0
2400000,388801506,388805403,47,0,0,0
2400000,388801506,388805811,47,0,0,0
2400000,388801506,388805695,45,0,0,0
4800000,777605506,793594834,97,0,0,0
4800000,777601506,777608907,91,0,0,0
4800000,777601506,777608965,89,0,0,0
4800000,777601506,777609538,91,0,0,0
4800000,777601506,777609205,91,0,0,0
4800000,777601506,777608810,89,0,0,0
