CALC-PI,L1D_INVALIDATE,L1D_TLB_READ_REFILL,L1D_TLB_WRITE_REFILL,L2D_CACHE_ACCESS,L2D_CACHE_REFILL,L2D_CACHE_WB
300000,12,198,12,1625,237,71
300000,0,72,6,549,51,13
300000,0,70,6,573,22,6
300000,0,72,8,554,16,9
300000,0,70,6,565,7,2
300000,0,80,6,529,5,2
600000,44,220,14,1798,272,64
600000,34,79,8,718,21,7
600000,28,98,7,658,17,8
600000,40,87,12,686,11,9
600000,38,91,10,644,4,2
600000,26,94,9,633,8,2
1200000,46,256,13,1671,217,39
1200000,76,113,10,816,33,17
1200000,88,128,14,823,25,14
1200000,88,125,12,889,222,91
1200000,54,139,8,804,66,15
1200000,228,118,12,804,47,11
2400000,68,317,25,1883,231,55
2400000,8,186,14,866,16,7
2400000,102,251,18,1002,43,12
2400000,0,252,14,869,12,3
2400000,0,216,14,881,9,6
2400000,134,216,18,1096,68,18
4800000,88,525,35,3352,348,91
4800000,72,197,14,1109,47,12
4800000,50,215,10,1072,18,3
4800000,70,146,18,1056,24,9
4800000,70,185,12,1110,21,9
4800000,50,187,12,1222,29,13
