CALC-PI,L1D_READ_REFILL,L1D_WRITE_ACCESS,L1D_WRITE_REFILL,L1D_TLB_REFILL,L1D_WB_VICTIM,L1D_WB_CLEAN_COHERENCY
300000,339,5401172,53,220,201,24
300000,93,5400245,6,82,45,20
300000,94,5400225,10,72,52,32
300000,94,5400263,10,79,41,22
300000,100,5400205,10,76,49,54
300000,108,5400281,10,82,50,38
600000,338,11487418,45,256,173,34
600000,102,10800362,15,97,68,38
600000,99,10800315,8,102,56,56
600000,89,10800331,11,97,52,40
600000,108,10800342,7,102,57,32
600000,95,10800318,19,105,62,40
1200000,314,22519660,41,293,140,64
1200000,143,21600572,16,143,55,56
1200000,128,21600484,10,150,35,32
1200000,121,21600533,10,137,33,40
1200000,125,21600512,10,128,45,92
1200000,122,21600518,10,169,41,52
2400000,478,43201879,48,373,258,44
2400000,264,43201878,66,389,149,1266
2400000,260,43200990,48,236,149,78
2400000,253,43200942,42,268,133,78
2400000,261,43200952,36,243,141,106
2400000,257,43200943,53,224,155,82
4800000,461,89337063,39,312,160,54
4800000,241,86400795,14,223,42,38
4800000,232,86400800,12,192,35,66
4800000,242,86400719,16,166,42,42
4800000,241,86400716,14,229,38,66
4800000,234,86400756,14,227,47,38
