CALC-PI,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L1D_CACHE_WB,L1D_READ_ACCESS
300000,344,27604374,325,18002934,192,11401892
300000,259,25088339,122,17832548,69,11257151
300000,181,16801221,83,16200602,43,10800437
300000,201,16801283,95,16200650,58,10800466
300000,210,16801257,102,16200601,65,10800451
300000,190,16801230,105,16200639,65,10800469
600000,492,49913997,377,35121265,229,22508004
600000,218,34458779,88,32400716,90,21600523
600000,219,33601341,96,32400677,58,21600492
600000,261,33601785,123,32400900,102,21600635
600000,224,33601510,106,32400784,81,21600559
600000,230,33601552,100,32400785,69,21600567
1200000,567,76996549,378,66435131,218,43746063
1200000,326,67201959,131,64800856,78,43200614
1200000,321,67202087,134,64800997,101,43200684
1200000,313,67202052,144,64800965,100,43200671
1200000,317,67201916,131,64800878,85,43200626
1200000,306,67201915,132,64800972,72,43200678
2400000,466,147788789,371,131834022,217,87145799
2400000,352,134402872,181,129601375,97,86400939
2400000,332,134402886,178,129601393,121,86400968
2400000,322,134403082,183,129601480,112,86401008
2400000,343,134402954,192,129601465,126,86401002
2400000,323,134402788,180,129601348,87,86400932
4800000,841,268808123,369,259204632,191,172803006
4800000,607,268805018,114,259202241,116,172801475
4800000,572,268804847,107,259202252,99,172801490
4800000,566,268804806,110,259202293,57,172801516
4800000,581,268805063,102,259202352,88,172801552
4800000,610,268804818,111,259202149,81,172801429
