CALC-PI,L2D_INVALIDATE,BUS_ACCESS,LOCAL_MEMORY_ERROR,BUS_CYCLES,BUS_READ_ACCESS,BUS_WRITE_ACCESS
300000,0,1218,0,8736387,994,224
300000,0,272,0,21346407,188,84
300000,0,110,0,8502601,62,48
300000,0,68,0,23885000,48,20
300000,0,44,0,29219769,28,16
300000,0,60,0,11964804,36,24
600000,0,1376,0,42336054,1060,316
600000,0,212,0,27554272,164,48
600000,0,76,0,12029716,52,24
600000,0,36,0,29643297,24,12
600000,0,89,0,11995154,57,32
600000,0,60,0,31733769,32,28
1200000,0,2310,0,62246362,1666,644
1200000,0,176,0,41444764,140,36
1200000,0,120,0,66616448,80,40
1200000,0,32,0,93432252,20,12
1200000,0,32,0,71268675,24,8
1200000,0,104,0,60021469,68,36
2400000,0,1270,0,119446280,1046,224
2400000,0,536,0,112093928,432,104
2400000,0,104,0,134357076,100,4
2400000,0,64,0,128944264,52,12
2400000,0,60,0,132207202,36,24
2400000,0,44,0,83915839,44,0
4800000,0,1196,0,216738111,952,244
4800000,0,248,0,305282425,184,64
4800000,0,312,0,230633382,256,56
4800000,0,156,0,254824314,104,52
4800000,0,124,0,210760331,88,36
4800000,0,36,0,254704300,32,4
