CALC-PI,L2D_READ_ACCESS,L2D_WRITE_ACCESS,L2D_READ_REFILL,L2D_WRITE_REFILL,L2D_WB_VICTIM,L2D_WB_CLEAN_COHERENCY
300000,1121,347,229,4,69,0
300000,478,138,27,2,13,0
300000,428,121,12,2,7,0
300000,398,113,10,0,5,0
300000,450,107,7,2,0,0
300000,413,113,3,0,0,0
600000,1176,346,245,3,72,0
600000,551,107,24,2,3,0
600000,449,95,18,2,8,0
600000,470,75,31,1,9,0
600000,407,78,16,2,8,0
600000,433,82,8,1,0,0
1200000,1489,498,250,6,73,0
1200000,766,240,39,2,10,0
1200000,749,238,5,2,3,0
1200000,755,260,6,0,5,0
1200000,683,240,7,2,6,0
1200000,759,256,7,0,3,0
2400000,1610,483,225,8,58,0
2400000,923,227,19,2,7,0
2400000,1011,216,28,2,16,0
2400000,857,221,12,0,2,0
2400000,958,226,21,2,6,0
2400000,793,204,6,0,4,0
4800000,1861,472,240,10,58,0
4800000,2723,969,205,13,57,0
4800000,2071,952,42,2,6,0
4800000,1962,954,7,0,0,0
4800000,2130,969,16,2,7,0
4800000,2003,944,21,0,4,0
