CALC-PI,UNALIGNED_READ_ACCESS,UNALIGNED_WRITE_ACCESS,UNALIGNED_ACCESS,INST_SPEC_EXEC_LDREX,INST_SPEC_EXEC_STREX_PASS,INST_SPEC_EXEC_STREX_FAIL
300000,10,0,10,0,0,0
300000,10,0,10,0,0,0
300000,10,0,10,0,0,0
300000,10,0,10,0,0,0
300000,10,0,10,0,0,0
300000,10,0,10,0,0,0
600000,10,0,10,0,0,0
600000,10,0,10,0,0,0
600000,10,0,10,0,0,0
600000,10,0,10,0,0,0
600000,10,0,10,0,0,0
600000,10,0,10,0,0,0
1200000,20,0,20,0,0,0
1200000,10,0,10,0,0,0
1200000,10,0,10,0,0,0
1200000,10,0,10,0,0,0
1200000,10,0,10,0,0,0
1200000,10,0,10,0,0,0
2400000,19,0,19,0,0,0
2400000,10,0,10,0,0,0
2400000,10,0,10,0,0,0
2400000,10,0,10,0,0,0
2400000,10,0,10,0,0,0
2400000,10,0,10,0,0,0
4800000,10,0,10,0,0,0
4800000,10,0,10,0,0,0
4800000,10,0,10,0,0,0
4800000,10,0,10,0,0,0
4800000,10,0,10,0,0,0
4800000,10,0,10,0,0,0
