CALC-PRIME,BRANCH_SPEC_EXEC_IND,BARRIER_SPEC_EXEC_ISB,BARRIER_SPEC_EXEC_DSB,BARRIER_SPEC_EXEC_DMB,EXCEPTION_UNDEF,EXCEPTION_SVC
3000,903340,0,0,0,0,3
3000,903796,0,0,0,0,3
3000,903089,0,0,0,0,3
3000,903951,0,0,0,0,3
3000,903105,0,0,0,0,3
3000,902952,0,0,0,0,3
6000,1871536,0,0,0,0,3
6000,1872146,0,0,0,0,3
6000,1874056,0,0,0,0,3
6000,1874097,0,0,0,0,3
6000,1874634,0,0,0,0,3
6000,1875338,0,0,0,0,3
12000,3908504,0,0,0,0,3
12000,3908588,0,0,0,0,3
12000,3914184,0,0,0,0,3
12000,3918777,0,0,0,0,3
12000,3918273,0,0,0,0,3
12000,3914551,0,0,0,0,3
24000,7993572,0,0,0,0,3
24000,8174881,0,0,0,0,3
24000,8155746,0,0,0,0,3
24000,8151004,0,0,0,0,3
24000,8151883,0,0,0,0,3
24000,8148420,0,0,0,0,3
48000,16928986,0,0,0,0,3
48000,17010266,0,0,0,0,3
48000,16980455,0,0,0,0,3
48000,16960162,0,0,0,0,3
48000,16986088,0,0,0,0,3
48000,16975509,0,0,0,0,3
