CALC-PRIME,BUS_NORMAL_ACCESS,BUS_NOT_NORMAL_ACCESS,BUS_NORMAL_ACCESS_2,BUS_PERIPH_ACCESS,DATA_MEM_READ_ACCESS,DATA_MEM_WRITE_ACCESS
3000,0,1634,1634,0,17992383,8207459
3000,0,76,76,0,18113325,7780390
3000,0,80,80,0,18099537,7759467
3000,0,144,144,0,18102356,7766885
3000,0,32,32,0,18104814,7770138
3000,0,12,12,0,18113905,7775121
6000,0,1612,1612,0,38275366,17122883
6000,0,60,60,0,38132304,16296022
6000,0,24,24,0,38098993,16252031
6000,0,12,12,0,38128516,16318622
6000,0,32,32,0,38105051,16275823
6000,0,40,40,0,38084128,16260568
12000,0,2664,2664,0,85714768,35803405
12000,0,164,164,0,85835700,35979276
12000,0,76,76,0,85849858,35995232
12000,0,28,28,0,85806872,35984746
12000,0,92,92,0,85857572,35974394
12000,0,40,40,0,85842800,36012172
24000,0,1032,1032,0,190351432,78671568
24000,0,883,883,0,190104090,78897742
24000,0,90,90,0,189985695,78825591
24000,0,124,124,0,190039529,78881638
24000,0,84,84,0,190179334,79003144
24000,0,128,128,0,190051851,78924229
48000,0,1660,1660,0,399740735,164451901
48000,0,66,66,0,399485064,165351002
48000,0,44,44,0,399328287,165438560
48000,0,38,38,0,399330933,165411544
48000,0,1216,1216,0,399711863,165389044
48000,0,172,172,0,399457177,165350528
