CALC-PRIME,EXCEPTION_PABORT,EXCEPTION_DABORT,EXCEPTION_IRQ,EXCEPTION_FIQ,EXCEPTION_SMC,EXCEPTION_HVC
3000,0,0,26,0,0,0
3000,0,0,26,0,0,0
3000,0,0,28,0,0,0
3000,0,0,26,0,0,0
3000,0,0,26,0,0,0
3000,0,0,28,0,0,0
6000,0,0,56,0,0,0
6000,0,0,56,0,0,0
6000,0,0,56,0,0,0
6000,0,0,58,0,0,0
6000,0,0,56,0,0,0
6000,0,0,56,0,0,0
12000,0,0,130,0,0,0
12000,0,0,124,0,0,0
12000,0,0,124,0,0,0
12000,0,0,124,0,0,0
12000,0,0,128,0,0,0
12000,0,0,124,0,0,0
24000,0,0,220,0,0,0
24000,0,0,114,0,0,0
24000,0,0,110,0,0,0
24000,0,0,112,0,0,0
24000,0,0,110,0,0,0
24000,0,0,166,0,0,0
48000,0,0,614,0,0,0
48000,0,0,626,0,0,0
48000,0,0,420,0,0,0
48000,0,0,248,0,0,0
48000,0,0,250,0,0,0
48000,0,0,248,0,0,0
