CALC-PRIME,EXCEPTION_TRAP_PABORT,EXCEPTION_TRAP_DABORT,EXCEPTION_TRAP_OTHER,EXCEPTION_TRAP_IRQ,EXCEPTION_TRAP_FIQ
3000,0,0,0,0,0
3000,0,0,0,0,0
3000,0,0,0,0,0
3000,0,0,0,0,0
3000,0,0,0,0,0
3000,0,0,0,0,0
6000,0,0,0,0,0
6000,0,0,0,0,0
6000,0,0,0,0,0
6000,0,0,0,0,0
6000,0,0,0,0,0
6000,0,0,0,0,0
12000,0,0,0,0,0
12000,0,0,0,0,0
12000,0,0,0,0,0
12000,0,0,0,0,0
12000,0,0,0,0,0
12000,0,0,0,0,0
24000,0,0,0,0,0
24000,0,0,0,0,0
24000,0,0,0,0,0
24000,0,0,0,0,0
24000,0,0,0,0,0
24000,0,0,0,0,0
48000,0,0,0,0,0
48000,0,0,0,0,0
48000,0,0,0,0,0
48000,0,0,0,0,0
48000,0,0,0,0,0
48000,0,0,0,0,0
