CALC-PRIME,INST_RETIRED,EXCEPTION_TAKEN,EXCEPTION_RETURN,CID_WRITE_RETIRED,TTBR_WRITE_RETIRED
3000,50811754,29,0,0,0
3000,50818968,27,0,0,0
3000,50813268,27,0,0,0
3000,50816110,27,0,0,0
3000,50805190,27,0,0,0
3000,50811358,29,0,0,0
6000,111944130,57,0,0,0
6000,111936068,57,0,0,0
6000,111938906,59,0,0,0
6000,111945880,57,0,0,0
6000,111942614,59,0,0,0
6000,111938058,57,0,0,0
12000,245972228,125,0,0,0
12000,245977564,127,0,0,0
12000,246002966,127,0,0,0
12000,245970990,125,0,0,0
12000,245972918,71,0,0,0
12000,245979812,51,0,0,0
24000,536640656,133,0,0,0
24000,536623648,113,0,0,0
24000,536644064,111,0,0,0
24000,536626534,111,0,0,0
24000,536649426,111,0,0,0
24000,536629342,111,0,0,0
48000,1166321924,251,0,0,0
48000,1166335304,249,0,0,0
48000,1166312824,249,0,0,0
48000,1166311476,385,0,0,0
48000,1166316548,615,0,0,0
48000,1166344994,709,0,0,0
