CALC-PRIME,INST_RETIRED,INST_SPEC_EXEC,EXCEPTION_TAKEN,EXCEPTION_RETURN,CID_WRITE_RETIRED,TTBR_WRITE_RETIRED
3000,50811782,65010304,13,0,0,0
3000,50818996,64383104,13,0,0,0
3000,50813296,64278198,13,0,0,0
3000,50816138,64348169,13,0,0,0
3000,50805218,64329960,13,0,0,0
3000,50811386,64273022,11,0,0,0
6000,111944158,141325610,25,0,0,0
6000,111936096,140143644,25,0,0,0
6000,111938934,140102428,25,0,0,0
6000,111945908,140317691,25,0,0,0
6000,111942642,139989190,25,0,0,0
6000,111938096,139696486,25,0,0,0
12000,245972256,313383112,53,0,0,0
12000,245977582,313406628,55,0,0,0
12000,246002994,313346674,53,0,0,0
12000,245971018,313280014,53,0,0,0
12000,245972946,313353718,53,0,0,0
12000,245979840,313756600,53,0,0,0
24000,536640704,653850467,111,0,0,0
24000,536623666,657009585,111,0,0,0
24000,536644092,658073401,111,0,0,0
24000,536626572,655469419,111,0,0,0
24000,536649444,656382277,111,0,0,0
24000,536629380,655496932,111,0,0,0
48000,1166321952,1448416668,247,0,0,0
48000,1166335332,1442231191,245,0,0,0
48000,1166312852,1441100679,243,0,0,0
48000,1166311504,1442660342,245,0,0,0
48000,1166316576,1443218153,275,0,0,0
48000,1166345022,1442496546,245,0,0,0
