CALC-PRIME,INST_SPEC_EXEC_LOAD,INST_SPEC_EXEC_STORE,INST_SPEC_EXEC_LOAD_STORE,INST_SPEC_EXEC_INTEGER_INST,INST_SPEC_EXEC_SIMD,INST_SPEC_EXEC_VFP
3000,20999512,7539905,28539417,27818621,0,0
3000,20742643,7435915,28178558,27514965,0,0
3000,20722200,7431206,28153406,27504284,0,0
3000,20735772,7431509,28167281,27503004,0,0
3000,20723893,7427342,28151235,27487232,0,0
3000,20712330,7427565,28139895,27487732,0,0
6000,45231419,16157876,61389295,59704678,0,0
6000,45265362,16174523,61439885,59896888,0,0
6000,45249907,16173994,61423901,59908865,0,0
6000,45206537,16130914,61337451,59775531,0,0
6000,45138610,16075687,61214297,59625276,0,0
6000,45205106,16137482,61342588,59781344,0,0
12000,101174945,39908308,141083253,133412122,0,0
12000,103891036,36763713,140654749,136887166,0,0
12000,103955545,36712861,140668406,136735425,0,0
12000,103980881,36764782,140745663,136859113,0,0
12000,103866171,36720147,140586318,136762789,0,0
12000,103967928,36753801,140721729,136826129,0,0
24000,215763706,76424019,292187725,283583193,0,0
24000,215273182,76300214,291573396,283586014,0,0
24000,215190564,76256408,291446972,283496351,0,0
24000,215118945,76276354,291395299,283609059,0,0
24000,215364734,76333600,291698334,283662754,0,0
24000,215359171,76277127,291636298,283510194,0,0
48000,471091765,166157225,637248990,618139198,0,0
48000,471454176,166269485,637723661,619578002,0,0
48000,470974042,166130668,637104710,619229290,0,0
48000,471087088,166182612,637269700,619203682,0,0
48000,471132234,166187338,637319572,619501265,0,0
48000,471077481,166104127,637181608,619085231,0,0
