CALC-PRIME,L1D_READ_REFILL,L1D_WRITE_ACCESS,L1D_WRITE_REFILL,L1D_TLB_REFILL,L1D_WB_VICTIM,L1D_WB_CLEAN_COHERENCY
3000,370,7832887,49,310,194,128
3000,133,7506729,8,206,58,46
3000,130,7527111,8,196,69,32
3000,139,7492535,8,216,63,44
3000,149,7510538,8,198,62,50
3000,126,7490857,10,196,52,30
6000,362,16705111,45,275,227,24
6000,153,16794732,19,197,90,40
6000,146,16849028,19,181,92,42
6000,149,16834840,13,200,84,46
6000,144,16871155,13,181,88,42
6000,170,16838951,15,214,95,64
12000,385,35851557,48,446,228,54
12000,125,36048212,8,354,83,44
12000,108,36179195,9,353,81,50
12000,123,36108793,10,378,75,68
12000,110,36180459,8,352,77,46
12000,134,36163835,11,340,81,50
24000,1086,76190539,62,853,494,40
24000,896,76658166,28,782,378,76
24000,888,76504084,28,776,367,36
24000,898,76411726,28,756,378,30
24000,887,76505481,44,760,376,116
24000,2053,76503595,76,1869,826,122
48000,1559,164582839,55,3677,1359,178
48000,1390,165477525,40,3689,1256,338
48000,773,165370590,20,2078,701,168
48000,541,165383860,14,1547,515,116
48000,559,165322565,18,1501,494,80
48000,552,165419421,8,1472,502,76
