CALC-PRIME,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L1D_CACHE_WB,L1D_READ_ACCESS
3000,495,27106444,398,25121420,209,17552742
3000,267,26952029,96,24998330,70,17427402
3000,332,26806679,110,24955289,70,17421834
3000,240,26806988,99,24959914,98,17422707
3000,249,26919412,105,25007306,85,17433207
3000,274,26929054,102,25002911,66,17435863
6000,581,57878746,407,54757470,210,38456039
6000,252,57997563,147,54784709,95,38374602
6000,272,57798691,145,54681443,132,38338665
6000,278,57636141,133,54630738,86,38320618
6000,255,57740094,138,54654401,75,38324675
6000,262,57748081,129,54659145,74,38328243
12000,759,137401953,731,124373525,617,86014620
12000,500,129237525,354,121982915,518,85898179
12000,359,129346702,344,122040815,353,85912000
12000,300,129204004,327,121925571,321,85873147
12000,299,129177897,331,122044094,368,85928857
12000,340,128883829,341,121901827,333,85856151
24000,736,296821878,1068,271658582,426,188391929
24000,267,282470639,525,266044034,191,187832365
24000,366,281136266,545,266513805,217,188111141
24000,260,282273337,536,266017105,230,187828361
24000,429,279682147,565,264907910,318,186987375
24000,255,282346312,542,266111046,225,187865958
48000,568,575423550,1028,564310857,921,399699687
48000,471,577220815,802,565179051,869,399731933
48000,357,577821356,780,565117795,857,399618970
48000,374,577984166,803,564683425,826,399298819
48000,577,575161863,1431,564814584,1686,399526530
48000,542,576712431,1870,564735083,1888,399547235
