CALC-PRIME,L2D_INVALIDATE,BUS_ACCESS,LOCAL_MEMORY_ERROR,BUS_CYCLES,BUS_READ_ACCESS,BUS_WRITE_ACCESS
3000,0,1018,0,37237762,826,192
3000,0,64,0,42599299,40,24
3000,0,8,0,38511580,8,0
3000,0,16,0,39111824,12,4
3000,0,64,0,30863099,36,28
3000,0,40,0,38254874,24,16
6000,0,916,0,62263315,736,180
6000,0,92,0,58562177,56,36
6000,0,40,0,66917637,24,16
6000,0,20,0,60780887,16,4
6000,0,40,0,70434957,28,12
6000,0,96,0,62232096,72,24
12000,0,876,0,105465584,688,188
12000,0,100,0,138889987,64,36
12000,0,56,0,141183866,40,16
12000,0,92,0,159929334,80,12
12000,0,120,0,153239297,68,52
12000,0,76,0,97111382,48,28
24000,0,1204,0,392998998,972,232
24000,0,116,0,373762332,92,24
24000,0,768,0,298748372,648,120
24000,0,212,0,381658433,172,40
24000,0,84,0,351611204,68,16
24000,0,228,0,317898907,180,48
48000,0,1072,0,741399665,844,228
48000,0,72,0,754910365,48,24
48000,0,16,0,721415668,12,4
48000,0,88,0,587427101,52,36
48000,0,112,0,595798042,72,40
48000,0,192,0,819913595,144,48
