CALC-PRIME,L2D_READ_ACCESS,L2D_WRITE_ACCESS,L2D_READ_REFILL,L2D_WRITE_REFILL,L2D_WB_VICTIM,L2D_WB_CLEAN_COHERENCY
3000,1225,470,172,2,41,0
3000,514,178,26,2,9,0
3000,504,173,9,2,4,0
3000,494,183,7,0,4,0
3000,492,186,2,2,2,0
3000,485,185,13,0,3,0
6000,1403,468,224,3,51,0
6000,573,182,37,2,8,0
6000,725,188,17,2,6,0
6000,777,229,187,7,68,0
6000,609,180,16,2,5,0
6000,609,194,9,0,0,0
12000,1344,562,165,6,23,0
12000,1332,361,58,2,19,0
12000,520,186,6,2,2,0
12000,560,211,1,0,0,0
12000,544,191,8,2,2,0
12000,496,197,7,0,1,0
24000,2044,1034,217,9,61,0
24000,1076,454,59,2,10,0
24000,892,405,20,2,8,0
24000,876,408,20,0,7,0
24000,779,404,5,2,4,0
24000,800,398,9,0,0,0
48000,1983,923,362,21,119,0
48000,1339,617,41,2,6,0
48000,1454,786,155,14,20,0
48000,2750,1491,76,3,8,0
48000,2487,1466,238,11,47,0
48000,1461,867,29,0,8,0
