CALC-PRIME,UNALIGNED_READ_ACCESS,UNALIGNED_WRITE_ACCESS,UNALIGNED_ACCESS,INST_SPEC_EXEC_LDREX,INST_SPEC_EXEC_STREX_PASS,INST_SPEC_EXEC_STREX_FAIL
3000,7,0,7,217840,217836,0
3000,0,0,0,217864,217864,0
3000,0,0,0,217854,217852,0
3000,0,0,0,217854,217852,0
3000,0,0,0,217820,217820,0
3000,0,0,0,217850,217848,0
6000,5,0,5,453528,453520,0
6000,0,0,0,453506,453504,0
6000,0,0,0,453512,453508,0
6000,0,0,0,453538,453536,0
6000,0,0,0,453516,453516,0
6000,0,0,0,453526,453524,0
12000,5,0,5,944880,944876,0
12000,0,0,0,944894,944884,0
12000,0,0,0,944962,944956,2
12000,0,0,0,944856,944852,0
12000,0,0,0,944886,944884,0
12000,0,0,0,944942,944936,0
24000,3,0,3,1962450,1962336,0
24000,0,0,0,1962428,1962344,0
24000,0,0,0,1962484,1962332,2
24000,0,0,0,1962464,1962312,0
24000,0,0,0,1962508,1962368,2
24000,0,0,0,1962486,1962352,0
48000,7,0,7,4070328,4070304,0
48000,0,0,0,4070376,4070316,0
48000,0,0,0,4070314,4070260,0
48000,0,0,0,4070374,4070308,2
48000,0,0,0,4070306,4070288,0
48000,0,0,0,4070372,4070356,0
