DHRYSTONE,BRANCH_SPEC_EXEC_IND,BARRIER_SPEC_EXEC_ISB,BARRIER_SPEC_EXEC_DSB,BARRIER_SPEC_EXEC_DMB,EXCEPTION_UNDEF,EXCEPTION_SVC
60000,2150925,0,0,0,0,3
60000,2197126,0,0,0,0,3
60000,2236965,0,0,0,0,3
60000,2245972,0,0,0,0,3
60000,2181009,0,0,0,0,3
60000,2289545,0,0,0,0,3
120000,4391614,0,0,0,0,3
120000,4631143,0,0,0,0,3
120000,4467952,0,0,0,0,3
120000,4456298,0,0,0,0,3
120000,4616553,0,0,0,0,3
120000,4664853,0,0,0,0,3
240000,9026974,0,0,0,0,3
240000,9124313,0,0,0,0,3
240000,9208409,0,0,0,0,3
240000,8883337,0,0,0,0,3
240000,9013425,0,0,0,0,3
240000,8949845,0,0,0,0,3
480000,18350360,0,0,0,0,3
480000,17919087,0,0,0,0,3
480000,18300226,0,0,0,0,3
480000,18192647,0,0,0,0,3
480000,18261250,0,0,0,0,3
480000,18650611,0,0,0,0,3
960000,34481965,0,0,0,0,3
960000,35475991,0,0,0,0,3
960000,36139065,0,0,0,0,3
960000,35631055,0,0,0,0,3
960000,35846715,0,0,0,0,3
960000,35635731,0,0,0,0,3
