DHRYSTONE,BUS_NORMAL_ACCESS,BUS_NOT_NORMAL_ACCESS,BUS_NORMAL_ACCESS_2,BUS_PERIPH_ACCESS,DATA_MEM_READ_ACCESS,DATA_MEM_WRITE_ACCESS
60000,0,1256,1256,0,24259887,13989779
60000,0,208,208,0,24760991,14208161
60000,0,80,80,0,24979304,14246472
60000,0,56,56,0,24479363,13976210
60000,0,16,16,0,24405393,13915748
60000,0,44,44,0,24505620,13954924
120000,0,1064,1064,0,48606012,27844106
120000,0,56,56,0,49852191,28522365
120000,0,56,56,0,49065206,27824012
120000,0,80,80,0,49035295,27805576
120000,0,60,60,0,48411785,27304286
120000,0,32,32,0,48327464,27375132
240000,0,1139,1139,0,98527659,56512868
240000,0,490,490,0,100536111,57116074
240000,0,80,80,0,99924098,56632989
240000,0,40,40,0,98666459,56163990
240000,0,292,292,0,98358628,56416830
240000,0,204,204,0,99065943,56482611
480000,0,1245,1245,0,188997611,106024922
480000,0,72,72,0,196496787,111840041
480000,0,196,196,0,196817750,111682449
480000,0,132,132,0,196677018,111375626
480000,0,80,80,0,193720957,110046170
480000,0,48,48,0,194914443,109441495
960000,0,2340,2340,0,383934012,216351350
960000,0,140,140,0,391666429,222812593
960000,0,64,64,0,386155047,219651068
960000,0,48,48,0,392942125,223594988
960000,0,96,96,0,391838817,222646383
960000,0,128,128,0,393936371,224825782
