DHRYSTONE,EXCEPTION_PABORT,EXCEPTION_DABORT,EXCEPTION_IRQ,EXCEPTION_FIQ,EXCEPTION_SMC,EXCEPTION_HVC
60000,0,2,20,0,0,0
60000,0,0,24,0,0,0
60000,0,0,18,0,0,0
60000,0,0,22,0,0,0
60000,0,0,22,0,0,0
60000,0,0,22,0,0,0
120000,0,2,44,0,0,0
120000,0,0,42,0,0,0
120000,0,0,40,0,0,0
120000,0,0,40,0,0,0
120000,0,0,40,0,0,0
120000,0,0,40,0,0,0
240000,0,2,78,0,0,0
240000,0,0,82,0,0,0
240000,0,0,84,0,0,0
240000,0,0,86,0,0,0
240000,0,0,88,0,0,0
240000,0,0,88,0,0,0
480000,0,2,66,0,0,0
480000,0,0,70,0,0,0
480000,0,0,66,0,0,0
480000,0,0,68,0,0,0
480000,0,0,68,0,0,0
480000,0,0,66,0,0,0
960000,0,2,148,0,0,0
960000,0,0,140,0,0,0
960000,0,0,144,0,0,0
960000,0,0,288,0,0,0
960000,0,0,358,0,0,0
960000,0,0,358,0,0,0
