DHRYSTONE,EXCEPTION_TRAP_PABORT,EXCEPTION_TRAP_DABORT,EXCEPTION_TRAP_OTHER,EXCEPTION_TRAP_IRQ,EXCEPTION_TRAP_FIQ
60000,0,0,0,0,0
60000,0,0,0,0,0
60000,0,0,0,0,0
60000,0,0,0,0,0
60000,0,0,0,0,0
60000,0,0,0,0,0
120000,0,0,0,0,0
120000,0,0,0,0,0
120000,0,0,0,0,0
120000,0,0,0,0,0
120000,0,0,0,0,0
120000,0,0,0,0,0
240000,0,0,0,0,0
240000,0,0,0,0,0
240000,0,0,0,0,0
240000,0,0,0,0,0
240000,0,0,0,0,0
240000,0,0,0,0,0
480000,0,0,0,0,0
480000,0,0,0,0,0
480000,0,0,0,0,0
480000,0,0,0,0,0
480000,0,0,0,0,0
480000,0,0,0,0,0
960000,0,0,0,0,0
960000,0,0,0,0,0
960000,0,0,0,0,0
960000,0,0,0,0,0
960000,0,0,0,0,0
960000,0,0,0,0,0
