DHRYSTONE,INST_RETIRED,EXCEPTION_TAKEN,EXCEPTION_RETURN,CID_WRITE_RETIRED,TTBR_WRITE_RETIRED
60000,76323506,25,0,0,0
60000,76320636,21,0,0,0
60000,76320636,25,0,0,0
60000,76320636,25,0,0,0
60000,76320636,23,0,0,0
60000,76320636,25,0,0,0
120000,152643506,47,0,0,0
120000,152640636,183,0,0,0
120000,152640636,65,0,0,0
120000,152640636,45,0,0,0
120000,152640636,45,0,0,0
120000,152640636,47,0,0,0
240000,305283506,91,0,0,0
240000,305280636,89,0,0,0
240000,305280636,93,0,0,0
240000,305280636,87,0,0,0
240000,305280636,89,0,0,0
240000,305280636,87,0,0,0
480000,610563506,181,0,0,0
480000,610560636,143,0,0,0
480000,610560636,115,0,0,0
480000,610560636,181,0,0,0
480000,610560636,177,0,0,0
480000,610560636,171,0,0,0
960000,1221123506,353,0,0,0
960000,1221120636,347,0,0,0
960000,1221120636,329,0,0,0
960000,1221120636,271,0,0,0
960000,1221120636,343,0,0,0
960000,1221120636,353,0,0,0
