DHRYSTONE,INST_RETIRED,INST_SPEC_EXEC,EXCEPTION_TAKEN,EXCEPTION_RETURN,CID_WRITE_RETIRED,TTBR_WRITE_RETIRED
60000,76323534,83078619,13,0,0,0
60000,76320664,90081040,15,0,0,0
60000,76320664,81411310,21,0,0,0
60000,76320664,89476322,23,0,0,0
60000,76320664,88746733,23,0,0,0
60000,76320664,82256307,23,0,0,0
120000,152643534,186251919,49,0,0,0
120000,152640664,190868630,49,0,0,0
120000,152640664,189473338,47,0,0,0
120000,152640664,199219526,51,0,0,0
120000,152640664,200577183,51,0,0,0
120000,152640664,191562100,49,0,0,0
240000,305283534,386953532,95,0,0,0
240000,305280664,374561334,91,0,0,0
240000,305280664,379954626,93,0,0,0
240000,305280664,368120499,89,0,0,0
240000,305280664,381861963,95,0,0,0
240000,305280664,388151405,93,0,0,0
480000,610563534,713615668,173,0,0,0
480000,610560664,710557906,167,0,0,0
480000,610560664,730470889,173,0,0,0
480000,610560664,722564440,155,0,0,0
480000,610560664,673831575,65,0,0,0
480000,610560664,744051371,73,0,0,0
960000,1221123534,1419739535,137,0,0,0
960000,1221120664,1471516865,139,0,0,0
960000,1221120664,1431631145,161,0,0,0
960000,1221120664,1489096114,141,0,0,0
960000,1221120664,1504298620,143,0,0,0
960000,1221120664,1480983792,139,0,0,0
