DHRYSTONE,INST_SPEC_EXEC_LOAD,INST_SPEC_EXEC_STORE,INST_SPEC_EXEC_LOAD_STORE,INST_SPEC_EXEC_INTEGER_INST,INST_SPEC_EXEC_SIMD,INST_SPEC_EXEC_VFP
60000,24600836,12266900,36867736,35708985,0,0
60000,27665057,13665161,41330218,40041477,0,0
60000,25578718,12614648,38193366,37578105,0,0
60000,25625541,12692001,38317542,37382645,0,0
60000,27543485,13719372,41262857,40404319,0,0
60000,27124928,13449472,40574400,39245827,0,0
120000,53988186,27096902,81085088,77821186,0,0
120000,54866715,27197187,82063902,79614454,0,0
120000,57142958,28399412,85542370,82580550,0,0
120000,54421652,26860792,81282444,78200849,0,0
120000,57069279,28510199,85579478,83338330,0,0
120000,55177569,27711686,82889255,80482717,0,0
240000,104602557,51693540,156296097,153085296,0,0
240000,111743873,54923176,166667049,164272824,0,0
240000,112994699,56529656,169524355,163209291,0,0
240000,115641825,56446833,172088658,165862647,0,0
240000,114444815,55891062,170335877,164148023,0,0
240000,114132181,55765259,169897440,165459564,0,0
480000,201731259,100934177,302665436,293252320,0,0
480000,206241888,103232238,309474126,301729914,0,0
480000,206621556,102689864,309311420,305797008,0,0
480000,211550084,106013457,317563541,308463355,0,0
480000,213775842,106796194,320572036,311657404,0,0
480000,209685230,104063491,313748721,306497518,0,0
960000,454302575,225586921,679889496,660579840,0,0
960000,430971246,213897567,644868813,631567730,0,0
960000,466201980,231224917,697426897,674718378,0,0
960000,447794485,223795993,671590478,649915168,0,0
960000,460100724,229286985,689387709,671906415,0,0
960000,448677396,224240433,672917829,652160866,0,0
