DHRYSTONE,L1D_READ_REFILL,L1D_WRITE_ACCESS,L1D_WRITE_REFILL,L1D_TLB_REFILL,L1D_WB_VICTIM,L1D_WB_CLEAN_COHERENCY
60000,371,13404685,95,15376,199,34
60000,233,14201683,71,65490,119,46
60000,210,13540561,68,35035,86,30
60000,247,13543845,70,23535,108,40
60000,231,14065182,66,70031,95,48
60000,223,13708990,96,25532,97,32
120000,315,27720765,141,44290,224,18
120000,88,27524986,27,46310,41,56
120000,88,28083445,32,71156,49,66
120000,79,28760034,38,54388,41,34
120000,78,27603488,26,63463,36,62
120000,78,27056605,31,57414,41,42
240000,570,56101990,147,256064,359,40
240000,392,56044770,107,179602,227,48
240000,492,58426086,91,241854,332,46
240000,314,57526975,128,298201,233,22
240000,204,55850422,72,155083,139,78
240000,368,57644446,95,204480,219,42
480000,658,111258362,192,402520,495,70
480000,479,111582396,128,401207,391,40
480000,500,113965162,122,388486,380,130
480000,562,115271141,238,450161,413,62
480000,498,114042607,133,477169,390,50
480000,565,113901468,280,557673,415,68
960000,2452,221873337,534,709559,1553,86
960000,2229,230815648,429,962119,1507,204
960000,2559,223444443,536,662394,1463,84
960000,2253,221084907,811,618639,1764,42
960000,2348,226522615,525,824235,1544,78
960000,2299,222103191,472,738337,1459,70
