DHRYSTONE,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L1D_CACHE_WB,L1D_READ_ACCESS
60000,454,29277615,261,37276052,176,23971618
60000,337,33600702,101,39455054,79,25092021
60000,332,28164210,108,37288409,90,23914802
60000,389,30922070,109,38730126,95,24874346
60000,393,30577876,111,38050116,86,24256723
60000,354,30623713,102,38385226,84,24566436
120000,724,61296177,475,76680666,246,48700928
120000,303,69625824,116,79988780,91,50705418
120000,323,73902823,131,81808336,91,52206008
120000,344,68971679,162,80347136,112,51053291
120000,432,56858262,193,74479314,106,47634417
120000,419,62246544,270,77094725,109,49338737
240000,1351,127617838,517,154882030,189,98889985
240000,801,139597278,88,159666219,164,101412435
240000,604,125912849,75,153408873,92,97656457
240000,728,131825634,81,157018583,136,99923983
240000,776,134172924,199,157521271,108,100415107
240000,694,143092922,77,160925505,78,102369777
480000,1323,233697215,1254,301098938,559,192475444
480000,1063,240371885,908,303245006,462,193592270
480000,1449,254634661,1157,310169257,565,197132857
480000,1026,239882440,866,302684912,399,193019937
480000,1825,257645831,1232,309685431,2148,197209245
480000,977,265552461,746,314134457,384,199651733
960000,2511,468046247,1176,599949605,429,383360830
960000,2107,488854619,911,609850737,509,390091761
960000,2337,523779514,984,624913129,564,398331255
960000,2013,545760743,915,634258882,531,403571096
960000,1778,545483998,787,632811750,432,402529799
960000,2179,529686479,939,627308730,535,399300686
