DHRYSTONE,L2D_INVALIDATE,BUS_ACCESS,LOCAL_MEMORY_ERROR,BUS_CYCLES,BUS_READ_ACCESS,BUS_WRITE_ACCESS
60000,0,832,0,27071697,628,204
60000,0,116,0,37184781,84,32
60000,0,44,0,29468962,28,16
60000,0,56,0,20145943,32,24
60000,0,48,0,26833694,32,16
60000,0,68,0,25091275,44,24
120000,0,1128,0,34463627,912,216
120000,0,48,0,40130822,40,8
120000,0,104,0,56045118,68,36
120000,0,56,0,69312281,48,8
120000,0,20,0,42652009,12,8
120000,0,48,0,47628001,36,12
240000,0,992,0,89020038,824,168
240000,0,108,0,104750999,80,28
240000,0,84,0,82704326,52,32
240000,0,72,0,103966704,56,16
240000,0,180,0,87452231,112,68
240000,0,80,0,107649456,52,28
480000,0,1240,0,167270280,968,272
480000,0,120,0,203306021,92,28
480000,0,32,0,201738217,28,4
480000,0,72,0,197417515,48,24
480000,0,44,0,187574485,28,16
480000,0,84,0,210329057,52,32
960000,0,998,0,381309901,838,160
960000,0,521,0,400896019,444,77
960000,0,72,0,360741053,60,12
960000,0,120,0,406741963,92,28
960000,0,188,0,372769346,124,64
960000,0,76,0,437419871,64,12
