DHRYSTONE,L2D_READ_ACCESS,L2D_WRITE_ACCESS,L2D_READ_REFILL,L2D_WRITE_REFILL,L2D_WB_VICTIM,L2D_WB_CLEAN_COHERENCY
60000,54264,363,191,10,57,0
60000,106946,152,11,2,6,0
60000,40023,184,14,0,3,0
60000,53019,155,4,2,1,0
60000,146189,126,4,2,1,0
60000,125351,155,11,0,2,0
120000,96266,434,234,14,66,0
120000,210047,176,31,2,3,0
120000,26954,126,6,1,3,0
120000,131369,109,12,2,5,0
120000,398611,154,11,2,7,0
120000,257230,204,13,2,13,0
240000,289487,652,198,11,41,0
240000,394971,429,36,4,15,0
240000,335458,381,14,2,7,0
240000,316118,383,9,2,7,0
240000,358654,393,16,4,8,0
240000,236422,388,4,0,2,0
480000,293945,812,256,18,74,0
480000,458032,578,49,2,13,0
480000,345260,778,142,13,41,0
480000,684644,627,21,2,1,0
480000,534444,855,23,2,7,0
480000,1040548,472,17,0,5,0
960000,1406843,1689,337,38,112,0
960000,1469450,1481,31,2,3,0
960000,1070835,1436,22,3,11,0
960000,791141,2008,11,2,6,0
960000,510836,2253,15,2,10,0
960000,1103442,1320,6,0,9,0
