DHRYSTONE,UNALIGNED_READ_ACCESS,UNALIGNED_WRITE_ACCESS,UNALIGNED_ACCESS,INST_SPEC_EXEC_LDREX,INST_SPEC_EXEC_STREX_PASS,INST_SPEC_EXEC_STREX_FAIL
60000,143518,0,143518,0,0,0
60000,154024,0,154024,0,0,0
60000,136924,0,136924,0,0,0
60000,156888,0,156888,0,0,0
60000,144792,0,144792,0,0,0
60000,129116,0,129116,0,0,0
120000,280292,0,280292,0,0,0
120000,284070,0,284070,0,0,0
120000,286738,0,286738,0,0,0
120000,339412,0,339412,0,0,0
120000,304208,0,304208,0,0,0
120000,272020,0,272020,0,0,0
240000,620586,0,620586,0,0,0
240000,648680,0,648680,0,0,0
240000,584146,0,584146,0,0,0
240000,561016,0,561016,0,0,0
240000,629636,0,629636,0,0,0
240000,637616,0,637616,0,0,0
480000,1136426,1143616,2280042,0,0,0
480000,1324668,1334504,2659172,0,0,0
480000,1128472,1133248,2261720,0,0,0
480000,1245164,1245388,2490552,0,0,0
480000,1229858,1229892,2459750,0,0,0
480000,1186920,1187072,2373992,0,0,0
960000,2508081,0,2508081,0,0,0
960000,2791364,0,2791364,0,0,0
960000,2486710,0,2486710,0,0,0
960000,2361606,0,2361606,0,0,0
960000,2588498,0,2588498,0,0,0
960000,2416790,0,2416790,0,0,0
