WHETSTONE,BUS_NORMAL_ACCESS,BUS_NOT_NORMAL_ACCESS,BUS_NORMAL_ACCESS_2,BUS_PERIPH_ACCESS,DATA_MEM_READ_ACCESS,DATA_MEM_WRITE_ACCESS
3000,0,7224,7224,0,244969321,97344701
3000,0,1176,1176,0,244398244,91696873
3000,0,2748,2748,0,244398589,91696976
3000,0,1184,1184,0,244398455,91696925
3000,0,912,912,0,244398531,91696981
3000,0,820,820,0,244398407,91696839
6000,0,5848,5848,0,488392229,194672107
6000,0,1036,1036,0,488386740,194669068
6000,0,780,780,0,487078312,183370729
6000,0,564,564,0,487077865,183370567
6000,0,492,492,0,487077906,183370495
6000,0,2085,2085,0,487079521,183371250
12000,0,8302,8302,0,971800579,398632207
12000,0,3768,3768,0,969005001,380107928
12000,0,1232,1232,0,966768811,366719650
12000,0,1348,1348,0,966768636,366719775
12000,0,2420,2420,0,966769314,366719784
12000,0,3912,3912,0,966775980,366723235
24000,0,6832,6832,0,1893557565,751630326
24000,0,1884,1884,0,1891109434,733418116
24000,0,4656,4656,0,1891121925,733424921
24000,0,4120,4120,0,1891112913,733419071
24000,0,2220,2220,0,1891110672,733418512
24000,0,4456,4456,0,1891124226,733425639
48000,0,9640,9640,0,3751540323,1540850465
48000,0,5582,5582,0,3739810116,1466822809
48000,0,4693520,4693520,0,3739813581,1466829099
48000,0,4559,4559,0,3739795258,1466816420
48000,0,5088,5088,0,3739802551,1466818546
48000,0,5880,5880,0,3739811788,1466825635
