WHETSTONE,EXCEPTION_PABORT,EXCEPTION_DABORT,EXCEPTION_IRQ,EXCEPTION_FIQ,EXCEPTION_SMC,EXCEPTION_HVC
3000,2,4,246,0,0,0
3000,0,0,246,0,0,0
3000,0,0,248,0,0,0
3000,0,0,246,0,0,0
3000,0,0,246,0,0,0
3000,0,0,246,0,0,0
6000,2,4,232,0,0,0
6000,0,0,194,0,0,0
6000,0,0,200,0,0,0
6000,0,0,194,0,0,0
6000,0,0,200,0,0,0
6000,0,0,198,0,0,0
12000,2,4,384,0,0,0
12000,0,0,908,0,0,0
12000,0,0,788,0,0,0
12000,0,0,382,0,0,0
12000,0,0,380,0,0,0
12000,0,0,380,0,0,0
24000,2,4,1738,0,0,0
24000,0,0,734,0,0,0
24000,0,0,728,0,0,0
24000,0,0,1804,0,0,0
24000,0,0,752,0,0,0
24000,0,0,1216,0,0,0
48000,2,4,1920,0,0,0
48000,0,0,2406,0,0,0
48000,0,0,2244,0,0,0
48000,0,0,1578,0,0,0
48000,0,0,2434,0,0,0
48000,0,0,2406,0,0,0
