WHETSTONE,INST_RETIRED,EXCEPTION_TAKEN,EXCEPTION_RETURN,CID_WRITE_RETIRED,TTBR_WRITE_RETIRED
3000,930394594,255,0,0,0
3000,930385634,251,0,0,0
3000,930385634,251,0,0,0
3000,930385634,211,0,0,0
3000,930385634,211,0,0,0
3000,930385634,249,0,0,0
6000,1848975034,499,0,0,0
6000,1848966074,491,0,0,0
6000,1848966074,421,0,0,0
6000,1848966074,515,0,0,0
6000,1848966074,491,0,0,0
6000,1848966074,489,0,0,0
12000,3653762440,887,0,0,0
12000,3653753480,975,0,0,0
12000,3653753480,905,0,0,0
12000,3653753480,883,0,0,0
12000,3653753480,961,0,0,0
12000,3653753480,881,0,0,0
24000,7074350440,1763,0,0,0
24000,7074341480,1747,0,0,0
24000,7074341480,1745,0,0,0
24000,7074341480,1749,0,0,0
24000,7074341480,1741,0,0,0
24000,7074341480,1745,0,0,0
48000,13915526440,3473,0,0,0
48000,13915517480,3425,0,0,0
48000,13915517480,3433,0,0,0
48000,13915517480,3435,0,0,0
48000,13915517480,3437,0,0,0
48000,13915517480,3431,0,0,0
