WHETSTONE,INST_SPEC_EXEC_LOAD,INST_SPEC_EXEC_STORE,INST_SPEC_EXEC_LOAD_STORE,INST_SPEC_EXEC_INTEGER_INST,INST_SPEC_EXEC_SIMD,INST_SPEC_EXEC_VFP
3000,244963970,92522765,337486735,430379089,1851952,108339038
3000,244402005,88615280,333017285,428698767,1851948,108339202
3000,244401143,88614752,333015895,428698443,1851934,108338724
3000,244401458,88614887,333016345,428698616,1851950,108338973
3000,244401905,88615234,333017139,428698687,1851948,108339136
3000,244401367,88614917,333016284,428698790,1851956,108338854
6000,488969463,190406344,679375807,858096771,3205478,211923508
6000,487080561,177216561,664297122,852436337,3205478,211923560
6000,487080332,177216441,664296773,852436118,3205470,211923545
6000,487080888,177216518,664297406,852437268,3205472,211923478
6000,487080151,177216360,664296511,852436100,3205470,211923371
6000,487081225,177216883,664298108,852436960,3205460,211923648
12000,970555077,380526907,1351081984,1698445291,5201276,406686532
12000,966789475,354428585,1321218060,1687145202,5201300,406689168
12000,966775812,354422959,1321198771,1687126874,5201224,406682702
12000,966773091,354422021,1321195112,1687123142,5201230,406681998
12000,966773147,354422057,1321195204,1687123258,5201224,406682208
12000,966774219,354422326,1321196545,1687125380,5201222,406683192
24000,1898683980,761319917,2660003897,3304944025,5201294,724310044
24000,1891119224,708833572,2599952796,3282296528,5201254,724302060
24000,1891128089,708836996,2599965085,3282309059,5201220,724307290
24000,1891129880,708836550,2599966430,3282313291,5201326,724306810
24000,1891118538,708833716,2599952254,3282294813,5201232,724301612
24000,1891132221,708839459,2599971680,3282311445,5201232,724309022
48000,3754897918,1522896395,5277794313,6517882001,5201230,1359545512
48000,3739828194,1417663216,5157491410,6472672901,5201320,1359548172
48000,3739825516,1417662730,5157488246,6472664786,5201222,1359551426
48000,3739810275,1417655184,5157465459,6472643900,5201254,1359546176
48000,3739849320,1417670730,5157520050,6472698742,5201298,1359554304
48000,3739805993,1417655230,5157461223,6472636347,5201216,1359540434
