WHETSTONE,L1D_READ_REFILL,L1D_WRITE_ACCESS,L1D_WRITE_REFILL,L1D_TLB_REFILL,L1D_WB_VICTIM,L1D_WB_CLEAN_COHERENCY
3000,11994,95040924,4161,996,5281,198
3000,11653,91696817,4120,652,5193,46
3000,11620,91696841,4120,702,5203,102
3000,11734,91696970,4120,744,5200,46
3000,11709,91696732,4120,770,5182,110
3000,11751,91697113,4123,806,5237,384
6000,1356,194671848,101,1776,728,170
6000,960,190061104,25,1469,470,100
6000,936,183372735,23,1522,456,170
6000,932,183372379,25,1436,428,110
6000,910,183372642,25,1495,462,66
6000,863,183371988,27,1066,471,194
12000,1762,380110465,95,2985,754,258
12000,1382,366722974,35,2546,544,408
12000,1439,366723560,33,2634,596,336
12000,1353,366722014,34,2180,523,242
12000,1432,366723210,36,2733,596,360
12000,1326,366723044,31,2064,465,176
24000,3540,751637696,850,5283,2307,456
24000,3090,733424083,731,4438,2118,456
24000,2982,733423702,730,4546,2126,314
24000,3047,733423894,770,4374,2105,624
24000,3065,733423610,731,4342,2045,352
24000,3056,733424299,753,4505,2135,606
48000,24822,1557031951,581,8854,6503,1082
48000,7098,1466829525,449,7673,5857,1082
48000,7126,1466830154,445,7210,5829,998
48000,7142,1466828578,416,7542,5852,960
48000,7172,1466829728,399,7753,5874,1042
48000,7120,1466829380,436,7273,5892,1014
