WHETSTONE,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L1D_CACHE_WB,L1D_READ_ACCESS
3000,1556,285286212,1271,342315320,618,244970347
3000,849,268322327,885,336095191,426,244398347
3000,856,268322331,919,336095465,403,244398543
3000,954,268321724,916,336095030,453,244398292
3000,826,268322263,896,336093992,361,244397557
3000,880,268324528,851,336096240,741,244398936
6000,2221,575123274,1673,686461716,853,488987278
6000,1271,533651381,1238,670455013,673,487082345
6000,1037,533648590,1063,670453924,500,487081647
6000,1255,533648401,1231,670453301,571,487081091
6000,1381,534138081,1286,670454405,552,487082160
6000,1245,533651829,1226,670455104,604,487082358
12000,2715,1126747522,6959,1359022357,3314,969917202
12000,1853,1055419787,8265,1333500542,3349,966777048
12000,1980,1055417536,8189,1333499719,3181,966776275
12000,1877,1055419343,8246,1333500094,3400,966776702
12000,1972,1055414510,8206,1333497735,3192,966774893
12000,1613,1055425957,8105,1333498593,3214,966775587
24000,4984,2240302252,12705,2694770017,4620,1900684580
24000,2454,2047876184,4938,2624548149,3606,1891123043
24000,2910,2048665343,4889,2624542996,3546,1891119305
24000,3282,2047878154,5536,2624548825,4008,1891123532
24000,3155,2047876006,5466,2624547331,3862,1891122862
24000,3213,2047874949,5494,2624546706,3975,1891122328
48000,6614,4246962737,6143,5280936313,5099,3749511239
48000,5951,4032793951,5410,5206642408,4702,3739816588
48000,6012,4032790137,5382,5206640465,4619,3739815120
48000,5932,4032791647,5401,5206643727,4754,3739816895
48000,5861,4032791522,5397,5206643500,4687,3739816699
48000,5808,4032797822,5206,5206647047,4606,3739819023
