WHETSTONE,L2D_INVALIDATE,BUS_ACCESS,LOCAL_MEMORY_ERROR,BUS_CYCLES,BUS_READ_ACCESS,BUS_WRITE_ACCESS
3000,0,4729546,0,290404951,4832,4724714
3000,0,1384,0,286209738,1180,204
3000,0,732,0,242426932,584,148
3000,0,584,0,316984062,440,144
3000,0,432,0,327613566,340,92
3000,0,418,0,298249710,312,106
6000,0,6210,0,647183045,5002,1208
6000,0,1688,0,579830045,1484,204
6000,0,3492,0,604011654,2660,832
6000,0,1056,0,451701814,872,184
6000,0,692,0,460441793,508,184
6000,0,596,0,756822018,464,132
12000,0,6776,0,1198793184,5076,1700
12000,0,3642,0,1118872635,3014,628
12000,0,2216,0,969149202,1832,384
12000,0,1576,0,1129043730,1252,324
12000,0,2204,0,1006340526,1640,564
12000,0,1928,0,922703470,1488,440
24000,0,6792,0,2344851469,5448,1344
24000,0,2538,0,2214779864,2146,392
24000,0,2038,0,2458247934,1622,416
24000,0,2522,0,2282430246,2058,464
24000,0,2942,0,2233376877,2286,656
24000,0,3146,0,2212089892,2698,448
48000,0,7968,0,4517264852,6248,1720
48000,0,3920,0,5155763566,3384,536
48000,0,3124,0,4925866755,2568,556
48000,0,2858,0,5211443526,2432,426
48000,0,2532,0,4899104211,2160,372
48000,0,2220,0,4288265418,1892,328
