WHETSTONE,L2D_READ_ACCESS,L2D_WRITE_ACCESS,L2D_READ_REFILL,L2D_WRITE_REFILL,L2D_WB_VICTIM,L2D_WB_CLEAN_COHERENCY
3000,3627,1474,1156,14,288,0
3000,2592,1145,286,2,72,0
3000,2197,1046,164,2,70,0
3000,2246,1121,97,0,33,0
3000,2432,1142,78,2,31,0
3000,2308,1119,146,0,53,0
6000,5393,1889,1110,4,315,0
6000,3033,1288,355,4,110,0
6000,3503,1456,643,3,191,0
6000,3367,1470,237,0,61,0
6000,3210,1466,168,2,48,0
6000,3334,1483,218,12,67,0
12000,7689,2934,1206,15,316,0
12000,5797,2393,395,4,76,0
12000,5438,2523,349,4,80,0
12000,5061,2349,330,0,68,0
12000,5251,2488,196,2,56,0
12000,5525,2399,462,4,116,0
24000,11769,5664,1226,27,368,0
24000,9779,5049,399,6,74,0
24000,9633,5142,471,2,116,0
24000,9584,5058,408,1,99,0
24000,9614,5069,403,2,112,0
24000,9760,5067,339,4,97,0
48000,12561,4499,1359,20,351,0
48000,6616,2307,669,4,150,0
48000,8037,1921,767,14,156,0
48000,9348,2453,890,10,202,0
48000,6699,2168,562,6,110,0
48000,8704,2370,528,5,103,0
