CALC-PI,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
300000,396,28204595,383,18002946,1434,242
300000,209,16801361,69,16200682,413,32
300000,210,16801443,86,16200681,408,16
300000,212,16801160,79,16200601,396,7
300000,202,16801144,89,16200602,432,28
300000,213,16801236,81,16200642,399,10
905000,520,64062163,366,52457500,1518,308
905000,279,50681852,129,48870856,609,33
905000,261,50681730,106,48870792,532,17
905000,260,50682045,108,48870934,515,32
905000,246,50681702,105,48870830,515,40
905000,261,50681940,118,48870889,579,38
4000000,1323,224026734,576,216012629,2939,517
4000000,1169,231762720,337,216009940,2270,155
4000000,658,245271751,148,216003339,1143,120
4000000,564,224004525,125,216002032,1074,76
4000000,501,224004421,82,216002012,679,14
4000000,536,224004586,88,216002160,738,14
25000000,2220,1400023388,1242,1350011246,5142,393
25000000,2159,1400022750,233,1350010045,2927,147
25000000,2127,1498017489,110,1350009542,2719,19
25000000,2110,1400021779,98,1350009523,2365,16
25000000,2122,1400021786,114,1350009651,2406,26
25000000,2094,1400021479,106,1350009318,2353,15
100000000,7858,5617935932,5593,5404978793,19745,497
100000000,8836,5600090866,5756,5400039981,20934,237
100000000,8213,5600088349,5635,5400039058,19909,163
100000000,7972,5600087638,5565,5400038856,19405,60
100000000,8130,5600089221,5652,5400039894,19895,110
100000000,8530,5600127400,5729,5400041205,20629,344
