CALC-PRIME,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
3000,368,28365297,237,25746209,1026,143
3000,251,28325735,117,25735769,592,17
3000,213,28258786,73,25701912,399,7
3000,227,28304371,82,25719013,417,7
3000,266,28302199,79,25719040,489,5
3000,235,28410079,75,25754672,427,6
9500,416,97976542,319,92839029,1260,158
9500,223,96928263,105,92245531,487,12
9500,290,97100786,105,92339294,608,23
9500,244,96967547,98,92240804,498,67
9500,244,96969431,100,92276358,496,104
9500,240,97121994,99,92296550,533,29
40000,512,473777341,663,462565179,2045,137
40000,353,473142019,478,462297785,1385,12
40000,495,475440153,909,462642393,2757,63
40000,281,475387211,824,462673645,2017,9
40000,443,473484269,832,462181124,2196,16
40000,293,474211512,835,462363399,2037,9
250000,1372,3702173130,8516,3620829425,19213,319
250000,1094,3693738283,8193,3612061839,17858,28
250000,1137,3695047187,8259,3611589299,18338,32
250000,1135,3675800905,8222,3609238039,18048,19
250000,1067,3694807604,8219,3612087708,18127,95
250000,1071,3675545936,8166,3609127854,17804,29
1000000,3146,15703277235,29229,16113353182,68248,566
1000000,3325,15725830825,28980,16130469975,67571,466
1000000,2613,15722203746,28849,16132162693,66053,220
1000000,2734,15724155228,28859,16129890919,65330,114
1000000,3057,15721927738,28981,16129869920,68246,276
1000000,2486,15732766953,28830,16134192285,65278,107
