DHRYSTONE,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
30000,361,11776432,290,17527029,1189,220
30000,234,13640737,68,18225174,20833,33
30000,228,13768478,83,18324944,12620,8
30000,229,15096797,93,19090046,59463,5
30000,249,20130847,116,21438147,1569,12
30000,217,17272199,78,20154373,465,2
80000,495,34432050,310,48119217,2040,159
80000,266,40813516,128,50564503,136992,10
80000,269,43441593,109,52187845,105929,8
80000,259,39606566,125,50514140,93868,98
80000,298,41611402,107,50882573,136172,49
80000,283,32900086,113,47536349,1879,14
400000,815,191929922,543,249441690,232827,169
400000,600,198630273,367,252779766,342040,5
400000,603,189999122,352,247721256,342414,6
400000,561,184660667,438,245838629,289040,3
400000,485,207242075,376,256364241,405507,18
400000,482,191842212,384,248555473,323602,4
200000,622,97029267,359,124985437,159687,192
200000,375,97765626,216,125890173,241391,7
200000,368,99866494,184,125682745,263810,5
200000,362,114670752,184,131810954,461506,4
200000,379,102892098,222,127070951,311410,8
200000,359,101008349,252,126414981,334619,7
10000000,8120,5202626716,6219,6404205344,13416497,390
10000000,7970,5300417679,6090,6435313159,15517674,35
10000000,8006,5461681453,6342,6511103317,17937702,57
10000000,7723,5337733819,8892,6460562174,16099567,19
10000000,8431,5400050124,6189,6479114523,17104293,47
10000000,8326,5472806016,6129,6507818769,19553386,27
