WHETSTONE,L1D_READ_ACCESS,L1D_WRITE_ACCESS,L1D_READ_REFILL,L1D_WRITE_REFILL,L2D_READ_ACCESS,L2D_WRITE_ACCESS
300,24657646,9750023,619,52,1931,720
300,24588172,9188801,419,32,1186,487
300,24588182,9188844,422,33,1034,465
300,24588365,9188823,397,30,999,461
300,24588228,9188811,354,20,912,398
300,24588138,9188785,376,26,1017,442
5500,448224754,177811861,1414,168,4061,1703
5500,446900481,168091877,1129,102,2537,1302
5500,446900274,168091810,1174,94,2342,1361
5500,446900099,168091593,1139,100,2526,1379
5500,446900305,168091807,1146,94,2536,1349
5500,446900266,168091844,1158,104,2404,1361
40000,3138179070,1314418940,2881,244,8572,3240
40000,3123565544,1222349940,1150,80,4682,1340
40000,3123565520,1222349964,1067,44,4260,1203
40000,3123564838,1222349190,966,35,4024,1118
40000,3123564555,1222349283,985,37,4004,1138
40000,3123564595,1222349564,1026,42,4317,1168
65000,5069047840,2108546355,34995,333,42859,35412
65000,5049277085,1986305960,17725,258,23109,18121
65000,5049276288,1986305877,17760,253,22574,18093
65000,5049274986,1986305068,17723,256,23125,18101
65000,5049276203,1986305475,17695,258,22595,18045
65000,5049277360,1986305773,17672,264,22607,18044
200000,15514222492,6514235195,11804,648,25851,12664
200000,15448108238,6111659446,8648,772,20706,9592
200000,15448108814,6111660582,8569,735,20441,9464
200000,15448104628,6111658030,4694,107,15279,5011
200000,15448105438,6111658109,4203,87,14632,4488
200000,15448107481,6111659294,4262,97,14438,4551
