CALC-PI,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,CPU_CYCLES
100000000,16200005478,18600133906,3200025064,6400042111,12000424161
100000000,16200001478,16200145073,3200029474,5800051705,10885195164
100000000,16200001478,16200143940,3200029202,5800051265,10881133559
100000000,16200001478,16200146288,3200029664,5800052074,10891046024
100000000,16200001478,16200144842,3200029440,5800051495,10886608265
100000000,16200001478,16200144428,3200029246,5800051471,10889029951
905000,146615478,168339718,28960782,57923946,108632688
905000,146611478,146613637,28960772,52491310,97940933
905000,146611478,146613491,28960754,52491300,96186675
905000,146611478,146613196,28960715,52491160,97831522
905000,146611478,146613266,28960726,52491173,98761289
905000,146611478,146613404,28960780,52491207,98871097
4000000,648005478,744014167,128001588,256005412,480044646
4000000,648001478,648008340,128001678,232003046,435464373
4000000,648001478,648007827,128001668,232002804,433599515
4000000,648001478,648007560,128001606,232002723,435244416
4000000,648001478,648007636,128001625,232002698,434528968
4000000,648001478,648007761,128001672,232002742,435686397
25000000,4050005478,4650041733,800006486,1600013633,3000124037
25000000,4050001478,4050036558,800007516,1450012915,2707643205
25000000,4050001478,4050036639,800007428,1450013170,2718528011
25000000,4050001478,4050037037,800007606,1450013177,2714091855
25000000,4050001478,4050036480,800007488,1450012966,2712373005
25000000,4050001478,4050037160,800007558,1450013279,2716777811
100000000,16200005478,16200151262,3200029132,5800054224,10466866117
100000000,16200001478,16200148509,3200030315,5800052371,10796180237
100000000,16200001478,16200147759,3200029988,5800052363,10802844640
100000000,16200001478,16200150589,3200030696,5800053255,10812428788
100000000,16200001478,16200147930,3200030210,5800052328,10806352543
100000000,16200001478,16200148233,3200030042,5800052660,10805976080
