CALC-PI,L1D_READ_ACCESS,L1D_WRITE_ACCESS,L1D_READ_REFILL,L1D_WRITE_REFILL,L2D_READ_ACCESS,L2D_WRITE_ACCESS
100000000,3600639586,1802041841,2178,47,8720,2231
100000000,3600023299,1800012956,2042,24,8221,2082
100000000,3600023667,1800013027,2026,19,8178,2067
100000000,3600023470,1800012936,2027,24,8212,2063
100000000,3600023465,1800013083,2035,25,8210,2079
100000000,3600023467,1800012976,2037,24,8227,2075
905000,33469175,18065432,295,45,1119,338
905000,32580586,16290256,73,22,409,95
905000,32580595,16290254,71,21,409,92
905000,32580611,16290253,63,21,378,84
905000,32580531,16290235,87,20,427,107
905000,32580609,16290242,70,20,393,90
4000000,144813062,73622101,396,34,1357,426
4000000,144001335,72000659,206,9,664,213
4000000,144001310,72000641,208,13,667,221
4000000,144001350,72000685,213,13,706,222
4000000,144001326,72000659,206,11,699,220
4000000,144001275,72000629,223,14,730,237
25000000,901027792,453062997,1157,159,4079,1326
25000000,900006680,450003610,953,128,3445,1091
25000000,900006774,450003687,971,98,3316,1085
25000000,900006604,450003608,959,122,3350,1083
25000000,900006719,450003637,962,128,3439,1090
25000000,900006636,450003539,952,129,3389,1087
100000000,3600753112,1801796751,3796,48,10286,3848
100000000,3600023980,1800013270,3723,17,10046,3740
100000000,3600023821,1800013107,3721,13,9900,3740
100000000,3600024551,1800013522,3717,12,9926,3739
100000000,3600023486,1800013025,3714,23,9784,3741
100000000,3600024269,1800013351,3719,13,9927,3738
