CALC-PI,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
300000,337,16804514,316,16203034,1238,177
300000,216,16801288,99,16200622,460,30
300000,160,16801169,76,16200635,344,15
300000,194,16801262,97,16200646,403,9
300000,193,16801090,99,16200584,453,16
300000,199,16801230,90,16200638,411,20
905000,571,51885197,361,49248131,1600,263
905000,269,50681756,105,48870781,503,18
905000,252,50681700,91,48870857,470,15
905000,265,50681762,108,48870898,535,8
905000,260,50681697,107,48870872,492,11
905000,267,50681765,94,48870887,495,16
4000000,752,224008072,440,216004414,1959,254
4000000,535,224004610,181,216002115,960,31
4000000,506,224004166,191,216001945,954,19
4000000,488,224004272,171,216001936,916,13
4000000,489,224004269,174,216001899,901,14
4000000,507,224004304,172,216001969,917,12
25000000,1824,1411766167,846,1352621101,3791,240
25000000,1629,1400021558,594,1350009795,2905,33
25000000,1608,1400021083,590,1350009586,2857,17
25000000,1630,1400021243,592,1350009596,2912,38
25000000,1678,1400021148,614,1350009652,3021,82
25000000,1655,1400021416,598,1350009637,2947,39
100000000,8122,5618276511,2163,5403070773,12902,255
100000000,7969,5600083433,1945,5400036702,12115,91
100000000,7888,5600083274,1933,5400036837,12033,93
100000000,7934,5600083412,1925,5400036746,12084,85
100000000,7884,5600083318,1930,5400036449,11958,50
100000000,7927,5600083191,1928,5400036453,12131,130
