CALC-PRIME,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,CPU_CYCLES
3000,50811754,64389014,0,27077931,60305696
3000,50818968,63523514,0,27122203,58905649
3000,50813268,63482626,0,27107236,58880586
3000,50816110,63706165,0,27190485,59061346
3000,50805190,63534773,0,27128178,58878587
3000,50811358,63404723,0,27069616,58722318
9500,188915254,234662473,0,100470105,225138708
9500,188927632,234300939,0,100326880,225005813
9500,188935422,234544184,0,100427380,224929808
9500,188927120,234708032,0,100486768,224957612
9500,188907962,234759192,0,100511135,224640749
9500,188923430,234756502,0,100580895,223789524
40000,951244030,1179848657,0,506789781,1177975763
40000,951212052,1184134103,0,508753576,1175689422
40000,951233664,1184487058,0,509017911,1176152726
40000,951245184,1185180581,0,509118884,1176690979
40000,951244140,1184541857,0,508916112,1176384851
40000,951244966,1183390259,0,508399500,1176945182
250000,7293680262,8804207518,0,3788787125,9228145021
250000,7293667986,8801201290,0,3787086111,9214950822
250000,7293672230,8790774681,0,3781919369,9218178554
250000,7293686538,8808379207,0,3789587799,9218137165
250000,7293677332,8818754072,0,3793843415,9217644746
250000,7293678044,8799176789,0,3785477567,9218971211
1000000,33546520862,39651808807,0,17082466429,42764531398
1000000,33546564990,39621925703,0,17067654438,42767578230
1000000,33546592602,39621520295,0,17067225484,42773513934
1000000,33546534508,39614222334,0,17063947815,42774613140
1000000,33546458844,39647522747,0,17078826612,42774401469
1000000,33546480576,39696307772,0,17101369970,42751400733
