CALC-PRIME,L1D_READ_ACCESS,L1D_WRITE_ACCESS,L1D_READ_REFILL,L1D_WRITE_REFILL,L2D_READ_ACCESS,L2D_WRITE_ACCESS
3000,17440817,7522510,271,15,810,280
3000,17381396,7524285,114,16,503,120
3000,17379070,7521645,96,18,421,112
3000,17380698,7520816,91,12,419,97
3000,17387088,7531505,95,12,418,101
3000,17393137,7550065,94,12,397,106
9500,64439862,27096602,334,41,1088,371
9500,64365666,27229437,121,14,425,134
9500,64412184,27238039,134,14,455,148
9500,64369979,27238612,123,14,471,135
9500,64361161,27241132,108,12,415,119
9500,64367959,27230582,124,14,456,143
40000,325928135,134452667,699,51,1504,746
40000,325728247,135017025,480,10,815,486
40000,325686086,135114766,533,18,1081,553
40000,325702698,135075367,461,14,888,475
40000,325760097,135038985,486,10,843,495
40000,325470279,134998665,533,16,1048,549
250000,2524042591,1014429570,3365,36,4586,3407
250000,2517197592,1018714258,3173,10,3917,3185
250000,2515804438,1017292537,3187,8,3898,3200
250000,2518246922,1017631122,3176,14,3893,3183
250000,2516750159,1016960445,3161,11,3934,3166
250000,2517658908,1017375646,3176,12,3823,3185
1000000,11708081229,4626733326,12225,2803,20021,15011
1000000,11610993604,4612203666,11988,2670,19001,14656
1000000,11609560833,4610586725,11891,2793,19001,14688
1000000,11610044340,4611432864,11772,2876,18896,14648
1000000,11609607226,4609147547,12006,2734,19526,14738
1000000,11610113300,4609535389,11862,2772,18982,14632
