CALC-PRIME,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
3000,507,29588189,373,25832361,1471,158
3000,230,27432392,104,25278405,593,22
3000,252,27353962,123,25233290,572,16
3000,221,27556584,114,25300661,557,14
3000,250,27354071,119,25237215,596,6
3000,256,27577767,113,25317308,601,11
9500,423,103911689,489,94430565,1683,145
9500,252,96438551,295,91995050,978,6
9500,244,96452924,295,92003535,938,3
9500,266,96481505,275,92008162,940,17
9500,240,96584175,270,92123443,912,5
9500,263,96480807,271,92030457,963,8
40000,1094,500352263,1056,469868510,3687,184
40000,376,472060932,889,460916318,2337,3
40000,313,469834256,846,460865496,2175,10
40000,312,472373287,861,461185591,2210,13
40000,388,469711708,868,460354163,2340,18
40000,277,469512859,834,460597217,2018,22
250000,955,3495335698,5211690,3514700693,10426619,513
250000,599,3526216089,5181398,3523206585,10364894,31
250000,572,3513132734,5182433,3521348342,10367517,120
250000,666,3509666542,5187575,3521417068,10377307,35
250000,588,3508189050,5167846,3519851175,10337944,77
250000,612,3507152491,5190584,3521236619,10382998,18
1000000,3289,15690175042,29253,16113318514,65922,367
1000000,3612,15811002546,29114,16145409866,65496,101
1000000,3577,15739062825,29133,16136529092,65286,141
1000000,3428,15743285628,28989,16139065727,64867,122
1000000,3326,15731913519,29120,16135024783,64566,58
1000000,3277,15726939816,29018,16134709103,64388,50
