DHRYSTONE,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,CPU_CYCLES
30000,38163506,45811888,0,19354544,25164268
30000,38160636,38186797,0,16511354,21141333
30000,38160636,45751095,0,19417459,25286291
30000,38160636,47352518,0,20502600,25869074
30000,38160636,53253266,0,22708740,30295144
30000,38160636,38174548,0,16505863,21365806
80000,101763506,142873635,0,60753977,80092880
80000,101760636,118037299,0,50798200,64648564
80000,101760636,136909645,0,58480059,78640430
80000,101760636,116019908,0,49894651,64945553
80000,101760636,115337588,0,49680175,64696154
80000,101760636,113445549,0,49330035,62344468
400000,508803506,596370616,0,255709462,334964403
400000,508800636,646420933,0,276988235,366969046
400000,508800636,622021311,0,267128067,348171622
400000,508800636,632350727,0,271906280,352077452
400000,508800636,667643278,0,285823823,377950780
400000,508800636,641351354,0,277635996,357171805
200000,254403506,302567578,0,130589090,167566318
200000,254400636,316913005,0,136651162,174455213
200000,254400636,305619441,0,130697924,171736953
200000,254400636,325659012,0,141260990,179601774
200000,254400636,297334691,0,128960816,164063722
200000,254400636,319323851,0,137307426,178537703
10000000,12720003506,16020815893,0,6927249297,8921478885
10000000,12720000636,15691668862,0,6778170172,8736499377
10000000,12720000636,15220084511,0,6569538377,8513606144
10000000,12720000636,15282184064,0,6606061885,8548682917
10000000,12720000636,15364052350,0,6640611224,8592148339
10000000,12720000636,15260006065,0,6595362346,8525486769
