DHRYSTONE,L1D_READ_ACCESS,L1D_WRITE_ACCESS,L1D_READ_REFILL,L1D_WRITE_REFILL,L2D_READ_ACCESS,L2D_WRITE_ACCESS
30000,11827745,6764157,190,78,1411,261
30000,13161176,7191795,73,42,19664,115
30000,12187413,7037262,55,32,1246,83
30000,11281321,6240878,36,20,342,56
30000,11281037,6240706,53,24,354,77
30000,12029901,6922656,60,28,44380,88
80000,32798439,18780220,214,102,66198,307
80000,31829347,18095454,112,73,80913,182
80000,32566182,18482129,78,83,29130,161
80000,33058677,18326067,79,54,39136,131
80000,31463280,17427711,75,67,1956,142
80000,31637969,17794095,77,67,24352,142
400000,158737771,89137409,383,1600096,2043343,1600463
400000,161907331,93057768,5430,1600249,1917732,1605671
400000,161967622,92018993,26876,1662441,2111829,1689305
400000,160984924,91396001,33261,1626365,2030641,1659626
400000,161897526,92773907,19024,1649783,1992060,1668805
400000,163146665,93332678,77401,1641572,2177327,1718975
200000,82647750,46890884,341,113,228963,454
200000,85795321,49131632,150,79,349603,230
200000,84144482,48009217,134,79,430488,218
200000,84499203,48537926,167,68,337838,232
200000,81296016,46096463,165,118,90123,289
200000,82904374,47369236,154,82,320166,233
10000000,4089209395,2312621440,970,1580,14129733,2554
10000000,4164048020,2376248012,2297,3092,17366309,5378
10000000,4088720492,2329086449,713,1601,16220150,2316
10000000,4102984175,2341460398,684,1586,17068115,2276
10000000,4077167657,2318228422,862,1693,16002485,2533
10000000,4106922541,2333319826,2203,2910,16499675,5115
