DHRYSTONE,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
30000,373,17661576,201,20157227,935,166
30000,221,13561142,90,18224478,53937,30
30000,212,14411314,78,18475503,22156,12
30000,228,13441965,96,18384454,504,15
30000,224,15472532,89,19022498,562,13
30000,207,11768125,72,17523354,449,10
80000,524,36635188,305,48713554,19930,189
80000,266,38659447,73,49886284,52316,12
80000,267,36945855,121,48969616,66040,14
80000,260,37720390,113,49831577,45752,3
80000,259,34176900,102,47893079,7836,16
80000,283,38672710,87,50321039,96191,7
400000,1212,204729570,726,254980469,404441,217
400000,699,198496161,485,251389692,366205,7
400000,657,222321433,559,262773537,726528,2
400000,652,200415860,594,254434539,316808,6
400000,609,206390715,496,254772609,633539,2
400000,633,202264231,501,253457153,586002,5
200000,738,101159962,498,126163268,258469,201
200000,366,93951342,211,123933413,34662,9
200000,430,92961817,183,123910882,2538,12
200000,369,93897096,214,123860772,143937,16
200000,361,107429906,235,130194632,161555,10
200000,361,87405383,184,120703542,136532,10
10000000,8838,5446254014,7750,6514986780,13806615,274
10000000,8657,5447896155,9267,6512665613,12216159,125
10000000,8250,5012351249,7198,6322805008,9144344,34
10000000,7939,5029391644,9928,6338616961,9525811,37
10000000,8003,5076222651,7338,6358761579,9743967,47
10000000,7840,5059850028,7266,6346523655,9762480,18
