WHETSTONE,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,CPU_CYCLES
300,94077942,95428676,11285082,43620421,59239514
300,94068982,94073194,11284976,43278766,60721752
300,94068982,94072019,11284918,43278175,59518414
300,94068982,94072700,11285084,43278473,60132294
300,94068982,94073062,11285219,43278470,60069722
300,94068982,94073283,11285304,43278682,59892525
5500,1697490534,1709794728,195297354,785527532,1067612420
5500,1697481574,1697501419,195297516,782450920,1066051056
5500,1697481574,1697501565,195297342,782451076,1066168864
5500,1697481574,1697500889,195297397,782450590,1069716179
5500,1697481574,1697502522,195297693,782451485,1066663046
5500,1697481574,1697500133,195297242,782450457,1065998931
40000,11635134440,11635263306,1147796386,5409203844,7178585413
40000,11635125480,11635253047,1147796674,5409199953,7099306458
40000,11635125480,11635252967,1147796862,5409199736,7121136507
40000,11635125480,11635248610,1147796592,5409197819,7099850918
40000,11635125480,11635251138,1147796438,5409199848,7082195604
40000,11635125480,11635252107,1147796588,5409198798,7098772763
65000,18761359440,18761532749,1809501076,8732474972,11465838239
65000,18761350480,18761515879,1809500772,8732468021,11383774604
65000,18761350480,18761515500,1809500496,8732467531,11383738814
65000,18761350480,18761520112,1809501377,8732468273,11401525851
65000,18761350480,18761520327,1809501208,8732468531,11417566191
65000,18761350480,18761519680,1809501320,8732468365,11407715761
200000,57242974440,57689870046,5382720712,26789754191,35130787857
200000,57242965480,57243474125,5382721672,26678158259,34647778985
200000,57242965480,57243470114,5382721378,26678156070,34747594718
200000,57242965480,57243479458,5382721416,26678163359,34698183961
200000,57242965480,57243473162,5382720299,26678161101,34677271765
200000,57242965480,57243466372,5382720638,26678156256,34704203246
