WHETSTONE,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
300,1024,27506068,1064,33887167,4118,594
300,413,27070314,403,33777053,1600,274
300,385,27070205,375,33776927,1321,46
300,385,27070102,407,33776911,1395,34
300,398,27070283,397,33777069,1362,22
300,395,27070616,398,33777106,1355,7
5500,1109,521067765,1406,626504946,5196,1134
5500,708,503111132,1003,616528253,3323,142
5500,669,489854636,914,614991743,2867,53
5500,708,489853868,907,614991451,3038,68
5500,669,489854194,925,614991500,2855,59
5500,715,489854637,985,614991828,3173,109
40000,3415,3684257048,23230,4460517049,51523,1115
40000,2350,3371084729,2121,4345912147,7582,765
40000,2415,3371082821,2084,4345911334,7575,256
40000,2313,3371083555,2086,4345911047,7381,214
40000,2370,3371087647,2084,4345913831,7397,200
40000,2392,3371082982,2097,4345911458,7555,362
65000,5479,5806071293,6891,7177598058,21564,1306
65000,3303,5438669962,6230,7035578533,17143,509
65000,3411,5438670202,6236,7035579711,17717,627
65000,3506,5438672327,6318,7035580151,17962,806
65000,3365,5438669181,6230,7035578624,17543,713
65000,3319,5438668821,6164,7035578484,17192,607
200000,10583,17981787016,3719,22071228478,19943,1428
200000,9528,16603598998,3257,21559765333,17527,656
200000,9436,16603597553,3135,21559763760,17092,816
200000,9512,16603601861,3219,21559766571,17314,526
200000,9474,16603607514,3312,21559770207,17528,562
200000,9457,16603602090,3225,21559766754,17259,581
