CALC-PI,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,CPU_CYCLES
300000,48605478,48608907,9600615,17403524,32053001
300000,48601478,48602732,9600590,17401006,32416393
300000,48601478,48602719,9600618,17400971,31993180
300000,48601478,48602557,9600594,17400944,31921458
300000,48601478,48602256,9600532,17400815,32706158
300000,48601478,48602390,9600566,17400868,32814724
905000,146615478,168340158,28960758,57924022,108641032
905000,146611478,146613572,28960784,52491311,98804204
905000,146611478,146613430,28960758,52491264,96294833
905000,146611478,146613400,28960772,52491228,96370430
905000,146611478,146613499,28960770,52491279,98979973
905000,146611478,146613310,28960742,52491205,98869838
4000000,648005478,648016051,128001748,232006371,430655820
4000000,648001478,648007762,128001626,232002747,433995302
4000000,648001478,648007799,128001634,232002826,436508703
4000000,648001478,648007725,128001600,232002819,432526230
4000000,648001478,648007689,128001609,232002765,434796997
4000000,648001478,648007895,128001638,232002809,434685587
25000000,4050005478,4050045230,800007586,1450016914,2651861620
25000000,4050001478,4050036754,800007512,1450012929,2711098154
25000000,4050001478,4050036811,800007512,1450013157,2695530474
25000000,4050001478,4050036209,800007408,1450012879,2707457307
25000000,4050001478,4050037261,800007558,1450013356,2699878526
25000000,4050001478,4050037151,800007591,1450013247,2695803965
100000000,16200005478,16200143832,3200027457,5800052328,10423483644
100000000,16200001478,16200140645,3200028344,5800050527,10720179156
100000000,16200001478,16200147732,3200029860,5800052800,10855313010
100000000,16200001478,16200143158,3200028963,5800050912,10858675918
100000000,16200001478,16200143237,3200028982,5800051203,10854876093
100000000,16200001478,16200143468,3200029196,5800051002,10849645000
