CALC-PI,L1D_READ_ACCESS,L1D_WRITE_ACCESS,L1D_READ_REFILL,L1D_WRITE_REFILL,L2D_READ_ACCESS,L2D_WRITE_ACCESS
300000,11401814,6601002,291,35,993,328
300000,11277573,6608364,109,17,469,126
300000,10800498,5400197,75,13,393,86
300000,10800465,5400172,89,13,345,99
300000,10800481,5400165,98,13,399,109
300000,10800461,5400159,64,11,338,72
905000,32581996,16291165,316,57,1151,376
905000,32580602,16290257,93,15,425,107
905000,32580624,16290274,94,17,424,110
905000,32580589,16290262,89,17,405,104
905000,32580581,16290238,100,19,392,118
905000,32580624,16290297,108,19,422,125
4000000,145152528,74674572,385,52,1586,435
4000000,144001296,72000665,144,14,756,158
4000000,144001288,72000627,145,14,738,159
4000000,144001292,72000642,134,12,683,146
4000000,144001409,72000698,169,18,840,190
4000000,144002035,72001061,300,42,1721,340
25000000,901119260,452227723,729,55,3023,779
25000000,900006064,450003336,531,16,2295,549
25000000,900006163,450003363,527,20,2319,553
25000000,900006238,450003356,523,17,2231,538
25000000,900006273,450003366,531,23,2269,554
25000000,900006132,450003280,532,17,2374,550
100000000,3600024849,1800013046,2155,42,10652,2203
100000000,3600023422,1800013185,2049,31,10259,2094
100000000,3600023520,1800013274,2003,26,10218,2023
100000000,3600023701,1800013070,2003,17,10173,2040
100000000,3600023673,1800013251,2062,27,10296,2105
100000000,3600023690,1800013043,2054,28,10252,2090
