CALC-PRIME,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,CPU_CYCLES
3000,50811754,63495641,0,27114994,58950000
3000,50818968,63690944,0,27194743,59076550
3000,50813268,63594060,0,27155796,58996803
3000,50816110,63621652,0,27162489,59009717
3000,50805190,63673691,0,27186891,59027287
3000,50811358,63669275,0,27182803,59065544
9500,188915254,236552139,0,101422606,227072194
9500,188927632,236864954,0,101542899,227590019
9500,188935422,236726462,0,101496226,227410526
9500,188927120,237078957,0,101646971,227368189
9500,188907962,238097894,0,102119795,227024553
9500,188923430,237890174,0,102030365,226922645
40000,951244030,1178046585,0,505726123,1173300956
40000,951212052,1177085482,0,505391177,1172765968
40000,951233664,1170275245,0,502249644,1160227689
40000,951245184,1169026275,0,501745246,1158327327
40000,951244140,1169573818,0,501871975,1158688038
40000,951244956,1168733450,0,501545304,1158042577
250000,7293680252,8771331146,0,3771021910,9368682807
250000,7293667996,8782414607,0,3776258566,9363415789
250000,7293672220,8784784793,0,3778099834,9370013547
250000,7293686528,8789683053,0,3779899199,9365635814
250000,7293677332,8793031247,0,3781423123,9365483520
250000,7293677994,8784189121,0,3778002272,9367482262
1000000,33546520838,39653698077,0,17083222510,42745820369
1000000,33546565030,39623965024,0,17071271421,42741833618
1000000,33546592642,39623061215,0,17070763085,42733927909
1000000,33546534478,39654080382,0,17082828777,42729054485
1000000,33546458814,39645299405,0,17078369859,42734509029
1000000,33546480662,39657619523,0,17084566682,42743888870
