CALC-PRIME,L1D_READ_ACCESS,L1D_WRITE_ACCESS,L1D_READ_REFILL,L1D_WRITE_REFILL,L2D_READ_ACCESS,L2D_WRITE_ACCESS
3000,17367956,8094564,251,22,690,264
3000,17298890,7525074,132,14,467,140
3000,17286230,7494992,123,16,454,127
3000,17286560,7494899,100,8,450,108
3000,17276897,7493476,100,8,468,102
3000,17285626,7500653,92,12,454,99
9500,65636693,27551257,270,37,903,300
9500,64940880,27408414,90,11,405,101
9500,64936208,27410529,98,13,436,111
9500,64983965,27447314,85,19,416,104
9500,64972537,27424802,90,11,390,99
9500,64977819,27426958,86,11,364,97
40000,325747517,134328220,968,69,1769,1039
40000,325711879,135127004,857,26,1665,884
40000,325489412,134945687,789,46,1379,835
40000,325626440,135129562,846,26,1507,880
40000,326036698,135293349,818,38,1301,857
40000,325828061,135053936,808,32,1328,840
250000,2518776813,1013687102,3529,87,5887,3604
250000,2515806156,1017452758,3355,39,4964,3388
250000,2515235002,1017940842,3340,60,5323,3398
250000,2513687774,1016128016,3357,42,5384,3392
250000,2514580388,1016035525,3352,44,5134,3395
250000,2514129656,1015368014,3326,47,4875,3369
1000000,11637420474,4604538039,36503,54,43114,36578
1000000,11634437327,4624131023,36267,34,41253,36322
1000000,11635190548,4626453954,36173,30,41188,36227
1000000,11635223907,4625357489,36204,30,41417,36279
1000000,11633895365,4622913575,36190,32,40919,36229
1000000,11633940444,4623045442,36109,36,41156,36158
