DHRYSTONE,L1D_READ_ACCESS,L1D_WRITE_ACCESS,L1D_READ_REFILL,L1D_WRITE_REFILL,L2D_READ_ACCESS,L2D_WRITE_ACCESS
30000,11415104,6310952,184,31,13771,203
30000,13310566,7718720,78,47,45498,119
30000,11331907,6270032,44,25,391,62
30000,12364495,7075134,40,27,65269,62
30000,12577523,6842102,40,27,104992,61
30000,12317218,7047448,64,35,587,96
80000,32529880,18799269,264,97,51436,357
80000,31069203,17476905,116,47,74646,163
80000,31798254,17795076,105,55,112149,159
80000,30936867,17345827,105,46,29536,151
80000,32624828,18343002,142,46,83977,188
80000,33076484,18796250,114,35,135234,147
400000,159931179,90205382,360,177,135352,527
400000,166853378,94922523,201,115,707450,310
400000,164839309,93429388,203,113,572132,310
400000,164516520,93703049,185,186,474488,363
400000,166160901,94606163,205,122,624250,329
400000,160622753,91595351,223,188,319102,411
200000,79267252,44807641,262,143,48674,403
200000,77932392,43789701,152,98,109219,249
200000,81222788,46042027,152,92,312448,244
200000,78658222,44448970,157,96,103276,251
200000,80528614,45852947,164,120,285911,284
200000,80348124,45209057,164,98,183516,262
10000000,3999738275,2259608113,7066,3964,7885232,11009
10000000,4036491719,2290509523,7007,3975,8460009,10971
10000000,4018691146,2274115313,7108,3871,8465333,10973
10000000,4038586935,2291188351,7455,5319,8765655,12770
10000000,3998103385,2255945077,6806,3979,7737411,10775
10000000,4021267236,2270161232,8645,4253,7444983,12861
