WHETSTONE,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,CPU_CYCLES
300,94077942,94088139,11285016,43284892,60601142
300,94068982,94073134,11285026,43278635,60084095
300,94068982,94073064,11285148,43278637,60100002
300,94068982,94072288,11285028,43278301,60337299
300,94068982,94073025,11285120,43278514,60006010
300,94068982,94072733,11285082,43278358,60070444
5500,1697490534,1709797838,195297875,785528669,1076197595
5500,1697481574,1697504676,195297702,782451737,1069948527
5500,1697481574,1697505329,195297698,782452004,1071871086
5500,1697481574,1697504275,195297664,782451852,1074350966
5500,1697481574,1697504367,195297968,782451723,1070116635
5500,1697481574,1697503835,195297640,782451471,1081620521
40000,11635134440,11635259735,1147795220,5409203974,7163154727
40000,11635125480,11635249699,1147796038,5409199497,7152441875
40000,11635125480,11635239539,1147794816,5409195379,7104361526
40000,11635125480,11635238201,1147794108,5409195294,7108816120
40000,11635125480,11635237202,1147794696,5409193693,7162714226
40000,11635125480,11635237473,1147794684,5409193893,7106140958
65000,18761359440,18906618697,1809502074,8768745640,11487869789
65000,18761350480,18761532364,1809502428,8732474439,11404281145
65000,18761350480,18761532985,1809501631,8732476130,11401447239
65000,18761350480,18761531111,1809501867,8732474001,11408529931
65000,18761350480,18761529690,1809501796,8732473388,11411905641
65000,18761350480,18761537352,1809502123,8732475817,11406453960
200000,57242974440,58136308712,5382722866,26901360992,34988081537
200000,57242965480,57243499481,5382722864,26678169271,34668914910
200000,57242965480,57243490317,5382722208,26678168984,34844479799
200000,57242965480,57243490938,5382723243,26678161657,34680064348
200000,57242965480,57243506695,5382722969,26678175762,34708732688
200000,57242965480,57243500410,5382722298,26678171035,34660005540
